Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
32,Chris Harris,2287,M35-39,USA,02:38:58,01:40:38,04:23:07,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
33,Gabor Papp,2368,M35-39,USA,02:32:18,01:46:25,04:23:09,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Tom Monica,304,M60-64,USA,02:36:28,01:43:55,04:23:14,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
46,Matt Lundy,129,M30-34,USA,02:36:18,01:41:51,04:23:15,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
26,Jeff Tse,2959,M45-49,USA,02:36:46,01:44:14,04:23:21,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
47,Kevin Turgeon,402,M30-34,CAN,02:39:51,01:39:45,04:23:21,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
15,Mark Cavallaro,476,M50-54,USA,02:34:57,01:44:42,04:23:22,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
27,Curtis Baden,1798,M25-29,USA,02:41:12,01:37:16,04:23:25,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
5,Claudia Thompson,1178,F35-39,USA,02:39:13,01:41:09,04:23:40,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
34,Jonathan Rodgers,2393,M35-39,USA,02:42:14,01:38:27,04:23:41,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
27,Erik Ness,288,M45-49,USA,02:32:57,01:47:54,04:23:50,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
8,Isabel King,875,F25-29,USA,02:42:40,01:38:24,04:23:51,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
28,Josiah Garrison,2797,M45-49,ECU,02:37:19,01:44:00,04:23:51,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
29,David Rolefson,669,M45-49,USA,02:37:23,01:43:07,04:24:07,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
35,Cyril Bedat,2196,M35-39,CHE,02:39:07,01:41:37,04:24:08,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
30,James Wilson,675,M45-49,USA,02:26:48,01:54:24,04:24:08,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
48,Trevor Downy,3465,M30-34,USA,02:32:01,01:47:44,04:24:11,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
26,Joshua Nartker,2608,M40-44,USA,02:38:43,01:42:10,04:24:15,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Jordan Blanco,236,F45-49,GBR,02:34:44,01:46:05,04:24:19,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
36,Lucas Riemens,2391,M35-39,USA,02:38:07,01:42:56,04:24:22,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
1,Lynne Fiedler,247,F55-59,USA,02:38:27,01:42:47,04:24:25,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
27,Felipe Szpigel,640,M40-44,BRA,02:29:39,01:51:31,04:24:28,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
31,Steve Herrmann,651,M45-49,USA,02:36:00,01:45:41,04:24:33,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
7,Huy Nguyen,496,M55-59,USA,02:34:33,01:47:03,04:24:33,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
37,Scott Fulkerson,413,M35-39,USA,02:39:46,01:41:33,04:24:41,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
49,Adrien Arnulf,1946,M30-34,FRA,02:36:25,01:46:00,04:24:48,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
28,Juan Pablo Degiovanni,625,M40-44,ARG,02:37:33,01:44:57,04:24:59,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
28,Derek Owens,1879,M25-29,USA,02:42:07,01:38:16,04:25:00,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
38,Chris Lamm,417,M35-39,USA,02:34:32,01:47:24,04:25:07,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
29,Alan Samuel Waxman,2689,M40-44,USA,02:28:47,01:52:50,04:25:12,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
32,Scott Horns,2826,M45-49,USA,02:33:50,01:48:33,04:25:12,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
