Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
26,Heidi Clarke,551,F 30,GBR,08:06:51,05:24:42,13:50:40,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
63,Billy Carr,423,M 55,IRL,07:36:23,05:54:48,13:51:11,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
224,Richard Bramley,1730,M 45,GBR,07:31:43,06:09:07,13:51:11,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
225,Craig McKinlay,1727,M 45,GBR,08:10:20,05:23:37,13:51:17,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
226,Kieran McCaffrey,1654,M 45,IRL,07:36:59,05:57:04,13:51:25,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
108,David Ihrke,1903,M 50,USA,07:54:09,05:45:56,13:51:37,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
227,Shawn Delaney,245,M 45,USA,07:23:23,06:04:41,13:51:54,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
228,Martin Mc Shane,1625,M 45,IRL,07:54:30,05:37:51,13:51:56,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
41,Georgina Loughrey,652,F 40,IRL,07:46:24,05:44:21,13:52:09,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
31,Lynsey Capone-Smith,571,F 35,USA,08:03:23,05:34:57,13:52:33,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
81,Christopher Mitchell,826,M 25,GBR,07:50:52,05:50:55,13:52:37,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
206,Bruno Martins,1111,M 35,POR,07:51:02,05:51:00,13:52:58,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
15,Rachael Lyons,514,F 25,GBR,08:07:59,05:26:55,13:53:12,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
207,Wojciech Wojcik,1154,M 35,POL,07:32:12,06:03:30,13:53:12,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
109,Gary Caswell,2001,M 50,GBR,07:52:59,05:40:11,13:53:27,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
229,Jeff Curry,1620,M 45,GBR,08:00:25,05:42:24,13:53:28,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
110,Greg McAuley,1902,M 50,USA,07:54:20,05:42:16,13:53:53,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
6,Laura Daly,493,F 18,IRL,08:19:43,05:26:34,13:53:54,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
230,Paul Smith,1596,M 45,IRL,07:36:21,06:05:18,13:54:01,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
3,James Meehan,2144,M 65,USA,07:50:42,05:44:47,13:54:39,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
208,Matthew Keller,1185,M 35,USA,08:03:38,05:37:42,13:54:50,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
111,Donal Downey,1941,M 50,IRL,07:40:14,05:35:30,13:54:56,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
209,Eoin Power,2154,M 35,IRL,07:51:53,05:45:32,13:55:04,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
231,Peter Murphy,1676,M 45,IRL,07:22:16,06:12:50,13:55:10,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
242,Elmer Abastillas,1376,M 40,PHI,07:58:35,05:17:42,13:55:19,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
32,Bethany Todd,566,F 35,USA,07:34:13,05:57:35,13:55:54,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
232,Mike O'Riordan,1696,M 45,IRL,08:09:50,05:30:41,13:55:59,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
233,Al Tinoy,1630,M 45,PHI,07:52:42,05:40:38,13:56:00,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
64,Jeff Kehm,2033,M 55,USA,08:06:17,05:30:45,13:56:35,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
82,Taylor Silvey,870,M 25,USA,07:51:33,05:53:35,13:56:53,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
42,Niamh McCullagh,613,F 40,IRL,08:11:48,05:28:52,13:56:57,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
16,Cassandra Barnett,518,F 25,AUS,08:02:27,05:44:21,13:57:28,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
27,Amanda Bauer Weyh,553,F 30,USA,08:14:13,05:34:14,13:57:38,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
65,Adrian Gallagher,2082,M 55,IRL,08:19:03,05:22:17,13:57:42,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
66,Greg Theophanides,2062,M 55,GBR,08:18:36,05:26:26,13:57:55,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
234,Simon McCormack,1753,M 45,AUS,08:00:18,05:33:56,13:58:26,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
243,Stuart Borthwick,1389,M 40,GBR,08:18:17,05:22:46,13:58:36,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
13,Hector Garcia,279,M 60,PUR,08:10:36,05:29:34,13:59:16,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
67,Tom Sawyer,2018,M 55,USA,07:26:21,06:20:39,13:59:25,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
33,Vicki Thrift,578,F 35,GBR,07:49:29,05:40:00,13:59:50,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
235,Edward McDonnell,1729,M 45,IRL,07:44:37,05:54:02,14:00:06,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
34,Louise Kirrane,587,F 35,IRL,07:20:38,06:18:49,14:00:10,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
14,Andreas Fink,2133,M 60,ITA,06:49:57,06:58:19,14:00:24,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
68,Theodorus Wels,2100,M 55,NED,07:57:21,05:17:09,14:00:39,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
112,Martin Holohan,1862,M 50,IRL,07:49:26,05:55:57,14:00:42,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
43,Lucy Summerfield,654,F 40,GBR,08:18:38,05:24:34,14:01:10,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
33,Aoife O'Brien,670,F 45,IRL,07:40:31,06:03:31,14:01:15,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
244,Matt Iles,1512,M 40,GBR,07:42:17,06:08:31,14:01:16,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
210,Jayson Summers,1176,M 35,USA,08:07:13,05:37:03,14:01:30,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
4,Katie Obrien,749,F 55,USA,08:16:56,05:31:34,14:01:47,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
34,Michelle Lingenfelser,303,F 45,USA,06:58:53,06:07:31,14:01:53,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
