Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
8,Chris Longeway,1308,M 50-54,USA,02:28:40,01:46:50,04:17:41,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
24,Abraham Cohen,1486,M 35-39,USA,02:28:26,01:47:23,04:17:51,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
26,Colin P. Finn,837,M 30-34,USA,02:34:46,01:41:34,04:17:58,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
27,Riley Vandyke,902,M 30-34,USA,02:23:55,01:53:16,04:18:32,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
1,Ron Mahler,166,M 60-64,CAN,02:31:55,01:45:16,04:18:33,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
18,Michael Brooks,1142,M 45-49,USA,02:38:08,01:36:25,04:18:44,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
20,Evan Cameron,727,M 25-29,USA,02:44:24,01:30:59,04:18:56,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
21,Trevor Mcgrath,770,M 25-29,USA,02:39:27,01:36:38,04:19:09,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
9,Stanley Holtz,1293,M 50-54,USA,02:29:12,01:48:07,04:19:32,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
25,Nathan Turner,150,M 35-39,USA,02:18:40,01:59:27,04:19:33,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
19,Anthony Renda,1217,M 45-49,USA,02:26:33,01:51:17,04:19:36,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
20,Chad Helgemo,1168,M 45-49,USA,02:33:38,01:43:44,04:20:05,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
2,Don Schoberg,289,M 60-64,USA,02:36:39,01:41:04,04:20:09,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
21,Coco Lopez,219,M 45-49,USA,02:31:43,01:46:05,04:20:28,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
22,Kyle Bennwitz,724,M 25-29,USA,02:37:11,01:40:53,04:20:42,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
26,Jon Ruud,1003,M 35-39,USA,02:29:51,01:49:14,04:20:48,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
22,Andy Richmond,1218,M 45-49,ABW,02:27:48,01:51:42,04:20:59,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
10,Randy Lakey,1303,M 50-54,USA,02:36:08,01:43:11,04:21:01,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
10,Sierra Smith,51,F PRO,USA,02:49:30,01:30:41,04:21:09,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
27,Jim Cuhel,931,M 35-39,USA,02:22:01,01:56:11,04:21:16,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
23,Luca Fasoli,160,M 45-49,ITA,02:44:17,01:35:24,04:21:26,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
20,Ryan Flanagan,267,M 40-44,USA,02:32:08,01:48:19,04:21:39,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
21,Jason Franzen,1052,M 40-44,USA,02:32:07,01:48:12,04:21:59,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
24,Scott Heidesch,1167,M 45-49,USA,02:40:34,01:40:10,04:22:01,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
3,Steve Mayberry,165,M 55-59,USA,02:32:51,01:46:58,04:22:10,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
23,Tyler Hinckley,744,M 25-29,USA,02:45:46,01:33:55,04:22:10,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
28,Brad Henderson,850,M 30-34,USA,02:31:29,01:49:12,04:22:16,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
10,Van Schloegel,709,M 18-24,USA,02:52:04,01:27:51,04:22:43,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
28,Adam Meredith,145,M 35-39,USA,02:35:54,01:44:28,04:22:45,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
11,Frederick Guesneau,164,M 50-54,CAN,02:39:03,01:40:46,04:22:46,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
24,Chris Sliney,792,M 25-29,USA,02:44:13,01:35:46,04:22:50,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
29,Chris Rydelski,1495,M 35-39,USA,02:30:58,01:50:14,04:23:00,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
25,Brian Oneill,781,M 25-29,USA,02:33:45,01:47:44,04:23:04,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
29,Mike Neeld,875,M 30-34,USA,02:30:09,01:51:17,04:23:15,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
22,Jason Dewar,214,M 40-44,CAN,02:38:49,01:42:01,04:23:21,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
