Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
-,Team Team Encinal Jets Tri-Club 2,4051,URELAY,USA,00:00:00,03:19:21,01:51:09,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
52,Alex Jakson,2111,M45-49,USA,00:00:00,02:58:22,01:58:06,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
101,Adam Gese,1652,M35-39,USA,00:00:00,02:52:03,02:06:47,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
20,Marisa Denison,365,F50-54,USA,00:00:00,02:57:52,02:00:39,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
102,Michael Herskowitz,1664,M35-39,USA,00:00:00,02:48:18,02:08:39,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
53,Alex Frumusanu,2602,M45-49,USA,00:00:00,02:58:59,02:05:43,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
6,Joann Miller,1141,F55-59,USA,00:00:00,02:46:49,02:09:21,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
103,Mark Altes,1593,M35-39,USA,00:00:00,02:52:01,02:09:26,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
83,Franklin Leonor,420,M40-44,USA,00:00:00,02:53:39,02:06:38,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
54,Robert Keyes,298,M45-49,USA,00:00:00,02:39:33,02:22:24,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
63,Harrison Willner,2555,M25-29,USA,00:00:00,02:46:45,02:15:38,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
55,Doug Lam,2120,M45-49,USA,00:00:00,02:57:06,02:01:15,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
104,Joshua Tipton,1785,M35-39,USA,00:00:00,02:45:39,02:13:24,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
31,Christina Maldonado,805,F35-39,USA,00:00:00,02:57:57,02:06:05,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
18,Allison Zwingenberger,217,F45-49,CAN,00:00:00,02:54:31,02:10:50,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
84,Jens-Peter Volkmer,2598,M40-44,DEU,00:00:00,02:52:29,01:51:44,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
105,Chet Wang,1799,M35-39,USA,00:00:00,03:07:00,01:50:22,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
33,James Hanigan,2367,M55-59,ATA,00:00:00,02:51:09,02:17:19,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
1,Missy Lestrange,155,F65-69,USA,00:00:00,03:02:11,02:08:09,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
26,Jacob Smith,2540,M18-24,USA,00:00:00,03:02:36,02:06:43,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
85,Brandon Del Gaudio,272,M40-44,USA,00:00:00,02:49:03,02:14:47,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
64,Anthony Aburaad,1241,M25-29,USA,00:00:00,02:46:56,01:59:32,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
50,Peter Pochily,2292,M50-54,USA,00:00:00,02:53:06,02:00:17,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
106,Alvin Runas,1760,M35-39,PHL,00:00:00,02:44:40,02:21:10,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
