Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
18,James Thierfelder,877,M50-54,USA,02:26:32,01:52:35,04:23:10,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
38,Robert McCue,411,M35-39,USA,02:41:05,01:39:36,04:23:21,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
41,Tyler Lewis,1069,M30-34,USA,02:22:02,01:59:07,04:23:26,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
6,Myia Miller,137,F40-44,USA,02:28:19,01:52:29,04:23:29,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
35,Robert Oslakovic,939,M40-44,USA,02:25:21,01:55:22,04:23:38,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Elena Rouco Chas,1340,F25-29,ESP,02:34:41,01:46:50,04:23:39,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
39,Andrew Otte,1204,M35-39,USA,02:21:26,01:59:57,04:23:50,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
36,Dennis Walerius,1227,M40-44,USA,02:24:22,01:57:16,04:23:59,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,Anna Raschke,1134,F18-24,USA,02:38:50,01:42:41,04:24:03,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
22,Mark Kulpins,814,M45-49,USA,02:35:00,01:45:50,04:24:16,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
6,Marshall Martin,531,M55-59,USA,02:19:40,02:02:08,04:24:22,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
23,Jason Hatton,1151,M45-49,USA,02:30:59,01:49:48,04:24:29,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
4,Meaghan Faucher,275,F25-29,USA,02:32:03,01:48:29,04:24:32,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
24,John Shelp,871,M45-49,USA,02:19:43,02:01:56,04:24:47,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
37,Gerardo Valenciatrujillo,1287,M40-44,USA,02:34:49,01:46:24,04:25:10,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
42,Aaron Madden,143,M30-34,IRL,02:19:13,02:02:38,04:25:12,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
40,Toby Hyde,1511,M35-39,USA,02:27:38,01:53:56,04:25:29,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
19,Brian Condron,1612,M50-54,USA,02:27:28,01:55:33,04:25:36,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
43,Andy Helm,248,M30-34,USA,02:34:54,01:48:18,04:25:54,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
44,Dustin Melvin,662,M30-34,USA,02:28:07,01:55:03,04:25:59,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
25,Bennet Crochet,58,M45-49,USA,02:33:42,01:49:18,04:26:00,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
38,Nick Hamm,630,M40-44,USA,02:27:38,01:54:36,04:26:00,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
39,Gary Sovey,34,M40-44,USA,02:32:53,01:50:24,04:26:03,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
