Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
52,Missy Lane,1646,F50-54,USA,00:47:16,00:03:19,00:03:34,17:29:05,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
72,Tami Dorry,1414,F45-49,USA,00:32:52,00:04:53,00:02:43,17:29:04,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
183,Mark Arlow,407,M45-49,USA,00:38:37,00:04:22,00:04:43,17:28:57,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
144,Stephen Shone,623,M50-54,USA,00:36:21,00:03:17,00:03:28,17:28:57,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
77,Christine Worms,1350,F40-44,USA,00:33:18,00:04:07,00:04:21,17:28:55,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
80,Holly Champagne,1020,F35-39,USA,00:35:09,00:03:51,00:08:48,17:28:51,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
153,Stan Pickering,2385,M35-39,USA,00:37:02,00:04:46,00:02:42,17:28:47,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
154,Dale Stigamier,2427,M35-39,USA,00:43:27,00:05:03,00:04:09,17:28:35,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
184,Cory Dague,2845,M45-49,USA,00:36:18,00:06:58,00:08:10,17:28:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
73,Andrea Lamont,524,F45-49,USA,00:39:00,00:07:17,00:04:56,17:28:29,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
145,Antonio Caparoso,3164,M50-54,USA,00:35:48,00:06:54,00:05:23,17:28:26,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
78,Trish Zimmerman,1355,F40-44,USA,00:41:03,00:03:10,00:03:46,17:28:25,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
32,Team Beauty AND THE Beasts 2,4011,RELAY,USA,00:37:12,00:02:31,00:03:03,17:28:24,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
25,Jack Gorman,1874,M18-24,USA,00:35:06,00:06:53,00:03:47,17:28:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
22,Vivienne Evans,128,F55-59,USA,00:36:46,00:02:47,00:04:39,17:28:13,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
207,Shawn Moore,2657,M40-44,USA,00:38:32,00:03:12,00:04:27,17:28:13,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
74,Bobby Murray,3490,M55-59,USA,00:29:59,00:06:01,00:05:22,17:28:12,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
81,Carolyn Yeago,1148,F35-39,USA,00:35:08,00:05:10,00:05:10,17:28:07,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
79,Barbara Hernandez,703,F40-44,PRI,00:37:41,00:03:28,00:03:10,17:28:07,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
185,Luke Smith,3070,M45-49,USA,00:39:02,00:05:01,00:05:02,17:28:06,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
61,Edith Stephens,987,F30-34,USA,00:30:11,00:04:43,00:03:44,17:28:03,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
208,Paulo Valle,2752,M40-44,BRA,00:31:46,00:07:01,00:08:19,17:27:54,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
33,Team Forces United,4024,RELAY,USA,00:34:03,00:03:59,00:03:04,17:27:52,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
155,Ed Hendry,2294,M35-39,USA,00:31:30,00:05:01,00:04:21,17:27:50,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
142,Carlos Agea,2021,M30-34,ESP,00:35:10,00:06:27,00:04:31,17:27:47,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
80,Minerva Ake,1152,F40-44,USA,00:42:36,00:05:34,00:04:16,17:27:39,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
146,Jay Roueche,3318,M50-54,USA,00:41:10,00:06:52,00:10:12,17:27:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
62,Myrna Rodriguez,976,F30-34,PRI,00:38:49,00:03:00,00:03:27,17:27:34,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
36,Ashley Brosius,829,F25-29,USA,00:32:37,00:03:05,00:05:14,17:27:33,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
68,Charlie Harty,1940,M25-29,USA,00:30:38,00:06:25,00:04:53,17:27:33,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
147,Robert Applebee,3134,M50-54,USA,00:38:22,00:06:44,00:04:47,17:27:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
81,Barbra Kilker,1233,F40-44,USA,00:39:10,00:06:09,00:08:20,17:27:31,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
143,Michael Grimm,2092,M30-34,USA,00:25:41,00:04:03,00:07:55,17:27:22,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
209,Christopher Parker,2672,M40-44,USA,00:41:10,00:04:46,00:03:49,17:27:21,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
26,Patrick Hammond,1875,M18-24,USA,00:37:23,00:04:03,00:04:59,17:27:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
