Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
1,Tim O'Donnell,1,MPRO,USA,00:21:02,00:01:43,00:01:18,20:17:54,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Jackson Laundry,4,MPRO,CAN,00:21:52,00:01:46,00:01:08,20:15:11,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Ivan Tutukin,6,MPRO,RUS,00:21:56,00:01:48,00:01:17,20:13:59,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Kevin Collington,3,MPRO,USA,00:21:38,00:01:46,00:01:20,20:13:14,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Matt Hanson,2,MPRO,USA,00:22:01,00:01:49,00:01:22,20:11:46,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Alex Libin,27,MPRO,USA,00:21:53,00:01:50,00:01:23,20:11:00,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Adam Otstot,8,MPRO,USA,00:22:55,00:01:48,00:01:15,20:08:53,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Sean Harrington,21,MPRO,USA,00:23:01,00:01:52,00:01:10,20:08:24,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
9,Andre Lopes,28,MPRO,BRA,00:22:50,00:01:57,00:01:27,20:05:51,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
10,Tyler Jordan,22,MPRO,USA,00:23:09,00:01:55,00:01:22,20:02:05,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
11,Patrick Brady,15,MPRO,USA,00:25:32,00:02:02,00:01:37,20:00:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
12,Justin Metzler,9,MPRO,USA,00:21:45,00:01:42,00:01:18,19:59:06,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
13,Elliot Bach,10,MPRO,USA,00:22:56,00:01:50,00:01:08,19:58:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
14,Benson Hall,20,MPRO,USA,00:23:12,00:02:00,00:01:18,19:57:19,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
15,Jose Pablo Salazar Ezquerra,36,MPRO,CHL,00:22:24,00:01:46,00:01:27,19:57:08,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
16,Nicholas Chase,16,MPRO,USA,00:22:59,00:01:49,00:01:18,19:55:27,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Mirinda Carfrae,45,FPRO,AUS,00:24:29,00:01:53,00:01:41,19:54:24,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
17,Derek Kidwell,24,MPRO,USA,00:22:05,00:01:50,00:01:07,19:53:06,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Jeanni Seymour,47,FPRO,ZAF,00:23:33,00:01:47,00:01:19,19:53:02,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Ted Treise,222,M25-29,USA,00:26:02,00:02:08,00:01:42,19:51:31,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Nathan Buttrick,136,M35-39,USA,00:25:24,00:02:37,00:01:29,19:48:51,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
18,Hunter Lussi,29,MPRO,USA,00:20:41,00:01:48,00:01:28,19:47:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Andrew Kalley,2316,M35-39,USA,00:26:34,00:02:04,00:01:24,19:47:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Aaron Kolk,356,M30-34,USA,00:30:28,00:03:11,00:01:54,19:47:31,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
19,Jimmy Sosinski,37,MPRO,USA,00:27:30,00:02:11,00:01:25,19:47:18,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Lauren Barnett,53,FPRO,USA,00:24:33,00:02:02,00:01:35,19:46:44,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Karel Sumbal,242,M40-44,CZE,00:24:37,00:02:10,00:01:56,19:46:44,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Ross Lenehan,227,M30-34,USA,00:25:23,00:02:15,00:01:39,19:45:00,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
20,Yunior Rosete Torres,34,MPRO,USA,00:21:38,00:01:47,00:01:57,19:43:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Haley Chura,50,FPRO,USA,00:21:54,00:01:52,00:02:05,19:43:09,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Luis Pou,398,M40-44,PRI,00:26:05,00:02:20,00:01:45,19:41:52,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Jodie Robertson,49,FPRO,USA,00:25:38,00:02:37,00:02:01,19:38:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Luciano Ros,360,M30-34,ARG,00:26:46,00:02:26,00:01:57,19:38:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Samuel Burkett,787,M40-44,USA,00:25:05,00:02:28,00:01:41,19:38:19,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
21,Brandon Krout,25,MPRO,USA,00:25:08,00:02:25,00:01:39,19:37:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Matt Schafer,341,M18-24,USA,00:22:36,00:02:18,00:01:50,19:37:30,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
22,Yorlliry Moreno,32,MPRO,VEN,00:21:57,00:02:00,00:01:43,19:37:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Gerard Hubbard,226,M30-34,USA,00:24:28,00:02:48,00:01:31,19:37:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Jason Ramdeen,234,M35-39,JAM,00:27:07,00:02:17,00:01:18,19:36:55,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Sean MacLaurin,233,M35-39,USA,00:26:35,00:02:06,00:02:36,19:36:46,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Cecilia Davis-Hayes,56,FPRO,USA,00:25:44,00:02:03,00:01:38,19:36:45,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Alycia Hill,59,FPRO,USA,00:24:35,00:02:12,00:02:19,19:36:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Pamela-Ann Bachelder St-Pierre,52,FPRO,CAN,00:25:53,00:02:03,00:01:14,19:35:41,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Gordon Powell,378,M35-39,USA,00:27:16,00:02:25,00:02:17,19:35:26,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Jade Costen,413,M45-49,USA,00:26:02,00:03:11,00:01:33,19:35:11,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Adam Zucco,245,M40-44,USA,00:23:21,00:02:29,00:02:38,19:33:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Jason Davidson,248,M45-49,USA,00:28:45,00:02:47,00:02:23,19:32:53,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Kurt Barnhill,224,M30-34,USA,00:25:50,00:02:19,00:01:34,19:32:43,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Eric Abbott,220,M25-29,USA,00:23:07,00:02:06,00:01:43,19:32:35,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Michael Fitzpatrick,2548,M40-44,USA,00:26:59,00:04:07,00:02:05,19:32:23,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
9,Kelly Fillnow,57,FPRO,USA,00:26:31,00:02:17,00:01:37,19:32:17,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Allen Stanfield,2425,M35-39,USA,00:25:44,00:02:48,00:02:00,19:32:01,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Gary Bushey,447,M55-59,USA,00:26:49,00:02:34,00:01:54,19:32:00,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Alec Harp,340,M18-24,USA,00:25:29,00:02:48,00:01:18,19:31:30,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Leo Hobi,559,M35-39,BRA,00:21:57,00:02:59,00:02:08,19:31:28,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
23,Johnathan Lejeune,26,MPRO,USA,00:26:04,00:02:36,00:02:09,19:31:18,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Tiago Depaula Souza,2424,M35-39,BRA,00:26:39,00:02:50,00:01:26,19:31:09,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Spencer Chipman,1915,M25-29,USA,00:24:38,00:02:51,00:02:06,19:31:04,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Danielle Vsetecka,288,F30-34,USA,00:25:24,00:02:28,00:01:17,19:30:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
9,Brett Hulgan,369,M35-39,USA,00:27:19,00:02:52,00:03:01,19:30:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Jon Noland,238,M40-44,USA,00:25:39,00:02:26,00:02:26,19:29:33,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Estevan Price,253,M45-49,USA,00:28:01,00:02:17,00:01:22,19:29:25,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
10,Mark Hoffman,3634,M35-39,USA,00:28:39,00:04:20,00:02:36,19:28:56,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
11,Charlie Johnson,372,M35-39,USA,00:25:19,00:02:35,00:02:08,19:28:21,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
24,Tim Russell,35,MPRO,USA,00:23:11,00:01:49,00:01:09,19:28:01,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
12,Frank Orlando,376,M35-39,USA,00:27:41,00:03:10,00:02:19,19:27:52,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
13,Cody Angell,2217,M35-39,USA,00:30:42,00:03:13,00:01:50,19:27:27,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Artur Barcelos Henrique,1903,M25-29,BRA,00:26:12,00:03:04,00:02:08,19:27:25,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Armin Wahl,244,M40-44,USA,00:29:14,00:03:19,00:01:41,19:26:47,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Patrick Sirois,254,M45-49,CAN,00:25:32,00:02:34,00:01:54,19:26:29,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Timothy Hinton,236,M40-44,USA,00:27:04,00:03:10,00:01:42,19:26:14,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
10,Jessica Jones,61,FPRO,USA,00:24:44,00:02:21,00:01:55,19:25:50,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
9,Michael Johnson,2605,M40-44,USA,00:30:20,00:02:53,00:01:37,19:25:22,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,William Valenti,425,M45-49,USA,00:26:01,00:02:30,00:01:41,19:25:16,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Scott Lorson,2121,M30-34,USA,00:27:29,00:02:22,00:01:59,19:24:55,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Stephen Molloy,2137,M30-34,USA,00:24:33,00:02:53,00:02:59,19:24:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
25,Beau Garufi,18,MPRO,USA,00:21:58,00:01:54,00:02:07,19:24:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Team Tc Triple Threat,4052,RELAY,USA,00:26:59,00:03:03,00:01:59,19:24:08,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,John Lafreniere,3245,M50-54,USA,00:29:35,00:03:06,00:01:55,19:24:07,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Meghan Fillnow,200,F35-39,USA,00:27:09,00:02:29,00:02:34,19:23:57,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
10,David Stephens,584,M40-44,USA,00:27:04,00:02:33,00:02:05,19:23:33,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
11,Jamie McLaughlin,2643,M40-44,USA,00:31:53,00:03:14,00:02:06,19:23:27,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Brendan Thomas,221,M25-29,USA,00:28:13,00:02:16,00:01:51,19:23:19,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
12,Jesse Danner,571,M40-44,USA,00:26:43,00:04:42,00:02:44,19:23:13,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Laura Specker Sullivan,286,F30-34,USA,00:27:19,00:02:22,00:02:01,19:23:01,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
14,Josh Merry,2356,M35-39,USA,00:26:10,00:02:40,00:01:31,19:22:40,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Benjamin Maas,1883,M18-24,USA,00:26:52,00:02:54,00:01:43,19:22:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Cheyenne Noble,199,F30-34,USA,00:29:32,00:02:34,00:01:22,19:22:12,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
15,Gary Thompson,382,M35-39,USA,00:27:07,00:02:56,00:01:25,19:21:51,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Ted Westerheide,262,M50-54,USA,00:30:14,00:02:36,00:02:23,19:21:50,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Kevin Reagin,2161,M30-34,USA,00:29:26,00:02:35,00:01:38,19:21:33,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Katie Colville,196,F25-29,USA,00:26:03,00:02:40,00:02:27,19:21:31,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Daniel Pettibone,3025,M45-49,USA,00:32:48,00:02:56,00:02:54,19:21:30,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
16,Todd Perkins,2384,M35-39,USA,00:28:46,00:03:20,00:02:03,19:21:24,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
11,Rachel Olson,65,FPRO,USA,00:22:26,00:02:13,00:01:35,19:21:00,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
13,Adam Stolzberg,2730,M40-44,USA,00:29:21,00:02:39,00:01:17,19:20:49,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Rob Moir,346,M25-29,USA,00:30:11,00:02:09,00:02:38,19:20:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
9,Peter Kaus,355,M30-34,USA,00:25:10,00:03:02,00:02:50,19:20:10,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
14,Diego Sosa,402,M40-44,ECU,00:29:24,00:02:31,00:01:29,19:20:09,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Martin Paez,347,M25-29,ECU,00:31:31,00:02:39,00:02:10,19:19:56,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
10,Joseph Deluca,225,M30-34,USA,00:26:28,00:02:40,00:02:28,19:19:49,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Lenny Wishart,444,M50-54,USA,00:26:22,00:02:46,00:02:21,19:19:42,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Jeff Cuddeback,645,M60-64,USA,00:24:27,00:02:37,00:01:48,19:19:18,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Emily Cameron,812,F18-24,USA,00:21:30,00:02:15,00:01:48,19:19:18,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
11,Grant Karshner,2115,M30-34,USA,00:28:34,00:02:58,00:01:56,19:19:16,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Rick Oblak,418,M45-49,USA,00:38:41,00:02:38,00:02:44,19:18:53,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Jaime Simmons,208,F40-44,USA,00:28:37,00:02:04,00:01:41,19:18:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
17,Fabio Duque,231,M35-39,COL,00:28:56,00:02:40,00:01:42,19:18:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Team In It To Win It,4027,RELAY,USA,00:33:44,00:03:22,00:01:54,19:18:30,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
12,Christopher Carter,2051,M30-34,GBR,00:29:16,00:02:36,00:02:00,19:18:24,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Edward Slovenkay,255,M45-49,USA,00:26:07,00:02:48,00:03:00,19:18:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Andrea Ugazio,3354,M50-54,ITA,00:22:47,00:02:31,00:02:08,19:18:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,David Depinet,450,M55-59,USA,00:32:13,00:03:32,00:02:51,19:18:07,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
15,Douglas Kerns,2610,M40-44,USA,00:33:07,00:02:53,00:01:58,19:18:04,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
16,Jack Walsh,2761,M40-44,USA,00:25:22,00:03:28,00:01:48,19:17:58,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,James Dugan,616,M50-54,USA,00:30:29,00:04:01,00:02:37,19:17:53,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
17,Mark Gannon,2559,M40-44,GBR,00:29:37,00:03:16,00:03:32,19:17:45,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
18,Sean Summers,243,M40-44,USA,00:30:48,00:02:54,00:02:06,19:17:42,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Maciej Konczewski,543,M25-29,USA,00:25:30,00:02:12,00:02:04,19:17:40,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
13,Scott Voyles,229,M30-34,USA,00:34:19,00:02:38,00:02:40,19:17:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
18,Jake Dallmann,367,M35-39,USA,00:31:15,00:02:18,00:01:55,19:17:30,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
14,Robert Collett,349,M30-34,USA,00:29:39,00:03:56,00:03:12,19:17:28,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
19,Aaron Runyon,2702,M40-44,USA,00:30:53,00:02:09,00:01:42,19:17:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
15,Masato Kan,2114,M30-34,USA,00:35:18,00:04:39,00:02:48,19:17:19,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
19,David Concepcion,2246,M35-39,VEN,00:30:06,00:02:40,00:02:04,19:17:18,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Kenneth Younts,445,M50-54,USA,00:24:45,00:02:47,00:03:42,19:16:59,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
20,Roberto Toledo,149,M35-39,BRA,00:30:55,00:02:24,00:01:32,19:16:40,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
21,Erik Waldman,566,M35-39,USA,00:30:39,00:02:52,00:02:22,19:16:21,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
16,Joshua Stephens,2178,M30-34,USA,00:28:14,00:02:32,00:01:48,19:16:09,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
22,Andres Tovar,383,M35-39,USA,00:25:50,00:02:43,00:02:39,19:15:54,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
20,Matthew Mocarski,137,M40-44,USA,00:33:36,00:03:09,00:03:10,19:15:45,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
21,Ricky Rosario,241,M40-44,USA,00:30:32,00:03:14,00:01:47,19:15:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Sam Martinez,435,M50-54,COL,00:33:06,00:03:13,00:01:49,19:15:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
12,Elizabeth Nyitray,64,FPRO,USA,00:25:50,00:02:11,00:01:50,19:15:24,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,James McLendon,125,M50-54,USA,00:28:29,00:03:55,00:02:25,19:15:16,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
22,Daniel Kaminstein,2608,M40-44,USA,00:25:44,00:03:21,00:01:42,19:15:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
23,Aaron Geiser,558,M35-39,USA,00:29:09,00:03:30,00:02:15,19:15:12,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
9,Tom Garrett,344,M25-29,GBR,00:25:40,00:02:26,00:01:56,19:14:56,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
24,Jeff Irvin,2309,M35-39,USA,00:32:45,00:02:52,00:03:14,19:14:01,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Seeley Gutierrez,205,F40-44,USA,00:26:27,00:02:38,00:01:42,19:12:52,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
10,Jason Watts,2015,M25-29,CAN,00:26:05,00:02:53,00:01:46,19:12:50,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
23,Jordy Wetzel,2768,M40-44,USA,00:30:18,00:03:19,00:01:52,19:12:25,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
17,Tristan Gore,2088,M30-34,USA,00:27:57,00:03:05,00:03:00,19:12:22,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
25,James Rankin,2392,M35-39,USA,00:27:14,00:02:28,00:02:46,19:12:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
11,Juan Sanchez,1991,M25-29,ECU,00:30:33,00:02:16,00:01:56,19:11:58,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
9,John Kilburn,250,M45-49,USA,00:26:19,00:03:25,00:01:34,19:11:54,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
24,Derek Champigny,2513,M40-44,USA,00:26:56,00:04:23,00:02:29,19:11:48,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Jonathan Minto,126,M55-59,CAN,00:31:25,00:02:32,00:01:47,19:11:39,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
18,Michael Cronin,156,M30-34,USA,00:29:54,00:03:23,00:01:39,19:11:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Tami Ritchie,203,F35-39,USA,00:24:02,00:03:00,00:02:21,19:11:30,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
19,Erik Guttman,2095,M30-34,USA,00:29:13,00:02:39,00:02:14,19:11:09,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Katie Cullingford,813,F18-24,USA,00:28:13,00:02:10,00:01:55,19:11:06,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
13,Ginger Howell,60,FPRO,USA,00:24:43,00:02:27,00:01:27,19:10:58,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Lauren Lipsey,283,F30-34,USA,00:26:14,00:03:12,00:01:47,19:10:45,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
26,Donnie McCammon,2348,M35-39,USA,00:27:37,00:02:59,00:02:50,19:10:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Brian Smith,3515,M55-59,USA,00:27:41,00:03:10,00:02:06,19:10:28,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
10,John Atkins,408,M45-49,USA,00:27:09,00:03:02,00:02:10,19:10:08,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
25,Paul Cavanaugh,387,M40-44,USA,00:30:24,00:02:19,00:02:31,19:09:49,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
12,Kyle Benge,1906,M25-29,USA,00:26:08,00:02:30,00:01:56,19:09:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
