Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
195,Omar Alhajri,880,M 25,QAT,00:43:46,02:18:19,03:10:08,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
2,Hildegard Kaufmann-Bader,797,F 60,GER,00:46:00,02:14:00,03:10:25,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
83,Victoria Carver,468,F 30,GBR,00:52:30,02:11:03,03:10:40,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
8,Irina Melzer- Dirmeier,792,F 55,GER,00:37:16,02:24:40,03:10:49,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
181,Johannes Glas,2118,M 45,GER,01:00:15,02:04:48,03:10:50,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
84,Sanne Blom,465,F 30,NED,00:43:58,02:19:46,03:10:50,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
54,Kathrin Übelhör,625,F 35,GER,00:43:46,02:22:26,03:11:06,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
9,Betina Harm,790,F 55,GER,00:50:00,02:11:31,03:11:07,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
281,Denys Ovcharov,1324,M 30,UKR,00:55:28,02:10:52,03:11:20,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
196,Lukas Albrich,879,M 25,AUT,00:46:03,02:19:47,03:11:23,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
160,Konstantin Zlobin,2487,M 50,RUS,00:45:20,02:21:15,03:11:24,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
85,Franzi Fink,474,F 30,GER,00:41:27,02:25:22,03:12:10,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
197,Ken O Connell,1019,M 25,IRL,00:45:56,02:19:51,03:12:11,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
50,Miranda Van Heukelom,748,F 45,NED,00:48:59,02:16:28,03:12:34,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
61,Samantha Welch,453,F 25,GBR,00:51:13,02:13:44,03:12:44,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
44,Natascha Payrleithner,672,F 40,AUT,00:47:04,02:17:46,03:13:06,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
51,Suzanne Margetson,726,F 45,GBR,00:43:56,02:18:00,03:13:13,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
21,An Koyen,769,F 50,BEL,00:49:23,02:15:42,03:13:48,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
182,Christian Brückmann,2079,M 45,AUT,00:40:05,02:26:02,03:14:23,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
22,Claudia Granit,763,F 50,AUT,00:54:31,02:10:54,03:14:24,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
86,Sandra Valancauskaite,546,F 30,LTU,00:48:28,02:16:15,03:14:25,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
17,Norbert Niklas,2596,M 60,GER,00:48:41,02:20:06,03:14:29,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
10,Liz Bennett,788,F 55,GBR,00:39:58,02:29:15,03:14:57,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
183,Panfilov Alexey,2061,M 45,RUS,00:48:23,02:16:45,03:14:59,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
282,Sebastian Koke,1265,M 30,GER,00:44:15,02:23:20,03:14:59,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
45,Heidi Harinen,654,F 40,FIN,00:50:03,02:19:38,03:15:30,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
62,Simone Feuerstein,402,F 25,AUT,00:47:29,02:22:21,03:15:31,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
283,Vladimir Uspenskiy,1402,M 30,RUS,00:52:30,02:15:30,03:15:33,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
55,Mirjam Majer,600,F 35,GER,00:38:52,02:26:19,03:15:37,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
161,Torben Raunskov Larsen,2390,M 50,DEN,00:45:26,02:22:44,03:15:50,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
46,Nikolina Kuva?i?,664,F 40,CRO,00:41:07,02:24:21,03:16:46,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
184,Fabian Friedrich,2107,M 45,AUT,00:44:21,02:23:41,03:16:49,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
18,Walter Niederberger,2595,M 60,AUT,01:04:52,02:02:17,03:16:51,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
63,Nives Šimi?,440,F 25,CRO,00:52:03,02:10:08,03:17:01,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
87,Daniella Biedla,463,F 30,GBR,00:49:34,02:19:50,03:17:20,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
162,Paul Miller,2412,M 50,RSA,00:49:02,02:18:53,03:17:28,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
185,Victorin Vaduva,2271,M 45,ROM,00:53:39,02:16:08,03:17:52,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
