Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
23,Fenliang Hu,740,M50-54,CHN,02:59:42,02:06:36,05:11:28,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
36,Yuejiang Liu,644,M45-49,CHN,02:59:08,02:08:51,05:11:28,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
24,Tomoyuki Matsuda,124,M50-54,JPN,02:47:50,02:19:11,05:11:50,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
6,富路 齐,786,M60-64,CHN,02:54:43,02:07:48,05:11:57,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
48,健强 魏,550,M40-44,CHN,03:15:23,01:50:22,05:12:09,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
48,Aaron Baumgartner,500,M35-39,CHN,03:16:00,01:50:39,05:12:10,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
32,Team Open Access Bpo,1014,RELAY-M,PHL,03:18:25,01:50:30,05:12:13,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
49,Chun Hung Tsang,428,M35-39,HKG,02:58:35,02:07:00,05:12:17,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
37,Joseph Wong,634,M45-49,SGP,02:50:21,02:16:06,05:12:33,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
9,Jinghao Li,212,M18-24,CHN,02:54:51,02:11:42,05:12:39,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
5,Yang Yang,879,F35-39,CHN,03:10:12,01:55:24,05:12:42,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
13,乔展 乔,262,M25-29,CHN,02:59:12,02:08:59,05:12:43,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
38,Lei Zhu,119,M45-49,CHN,02:58:30,02:09:10,05:12:56,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
5,Ping Xu,130,M65-69,CHN,02:51:02,02:17:45,05:13:02,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
7,Ngan Lam,144,F25-29,VNM,03:08:12,02:02:03,05:14:02,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
39,俊峰 乔,679,M45-49,CHN,02:44:28,02:22:20,05:14:12,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
37,Shuangyu Ye,272,M30-34,CHN,03:00:23,02:09:02,05:14:28,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
40,Ansong Li,176,M45-49,CHN,02:49:01,02:20:35,05:15:02,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
3,Shiori Morioka,888,F40-44,JPN,02:48:52,02:20:58,05:15:12,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
50,庆祥 索,397,M35-39,CHN,02:58:21,02:00:03,05:15:16,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
38,Hainan Song,372,M30-34,CHN,02:58:05,02:10:33,05:15:21,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
8,荣娟 马,873,F30-34,CHN,02:58:37,02:13:15,05:15:22,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
