Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
20,Spring Tan,2760,F 50-54,SGP,03:33:44,03:01:55,06:48:07,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
27,Vikki Reynolds,2394,F 35-39,AUS,03:22:19,03:13:41,06:48:29,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
21,Mimiwati Zahari,2766,F 50-54,MYS,03:42:42,02:47:34,06:48:44,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
40,Nenden Nenden,2523,F 40-44,IDN,03:49:39,02:46:48,06:48:51,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
42,Kerri Holmes,2664,F 45-49,AUS,03:15:47,03:26:02,06:51:38,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
12,Sandra Adam,2797,F 55-59,AUS,03:31:52,03:06:35,06:51:41,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
41,Donna Mcwilliams,2520,F 40-44,AUS,03:14:42,03:27:24,06:53:52,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
11,Kelli Cockman,2036,F 18-24,AUS,03:24:43,03:17:41,06:54:52,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
42,Megan Scott,2531,F 40-44,AUS,03:26:13,03:18:20,06:55:39,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
43,Paula Wines,2688,F 45-49,AUS,03:25:31,03:17:06,06:55:46,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
72,Sanjay Deshmukh,2559,M 45-49,IND,03:25:16,03:11:03,06:57:05,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
73,Roni Ramdani,2608,M 45-49,IDN,03:04:50,03:38:44,06:58:01,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
22,Sue Farmer,2745,F 50-54,AUS,03:21:26,03:26:22,06:58:32,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
43,Parinda Niljard,2525,F 40-44,THA,03:42:57,03:05:40,07:00:01,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
74,Frank Lindsay,2586,M 45-49,AUS,03:17:27,03:24:17,07:02:29,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
40,Suryo Sudarmadi,2734,M 50-54,IDN,03:12:22,03:36:16,07:03:16,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
44,Maria Granata,2656,F 45-49,ITA,03:24:43,03:23:23,07:04:19,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
41,Ian Henderson,2702,M 50-54,AUS,03:38:59,03:16:05,07:06:56,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
