Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
146,Marcus Frohwirt,1074,M 30,GER,00:00:00,05:44:41,04:32:03,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
6,Kathrin Ernst,792,F 50,GER,00:00:00,06:17:44,04:20:33,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
199,Christian Haseleu,1668,M 40,GER,00:00:00,05:39:52,04:53:48,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
119,Peter Kocher,2298,M 50,GER,00:00:00,05:39:39,04:55:59,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
147,Maximilian Hermschulte,1098,M 30,GER,00:00:00,06:12:57,04:41:14,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
120,Manuel Möller,297,M 50,GER,00:00:00,06:03:29,04:38:59,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
200,Lars Crusius,1613,M 40,GER,00:00:00,06:00:27,04:17:17,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
121,Sven Kopisch,2300,M 50,GER,00:00:00,05:29:10,05:14:10,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
158,Henric Lidberg,2025,M 45,SWE,00:00:00,05:37:18,05:12:35,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
122,Antonio Caracciolo,287,M 50,SUI,00:00:00,05:39:06,05:14:20,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
19,Sandra Wiegard,701,F 35,GER,00:00:00,05:45:33,05:12:54,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
9,Manfred Steckel,323,M 60,GER,00:00:00,06:03:28,04:33:32,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
8,Dana Greenfield,481,F 45,ISR,00:00:00,06:15:15,04:12:32,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
201,Vinay Asrani,228,M 40,IND,00:00:00,06:15:47,04:32:59,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
123,Kevin Blakey,2181,M 50,GBR,00:00:00,05:51:30,04:48:58,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
202,Vadim Goikhman,1654,M 40,RUS,00:00:00,06:15:36,04:05:25,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
10,Eli Shusterman,530,M 60,ISR,00:00:00,05:45:59,04:45:42,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
