Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
7,Chantal Oliver,649,F 25-29,AUS,06:05:03,04:07:29,10:18:58,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
24,Cameron Lucas,200,M 25-29,AUS,05:52:08,04:18:11,10:19:13,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
2,Lisa Redmond,181,F 50-54,AUS,05:38:27,04:33:20,10:19:24,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
38,Joel Cullen,817,M 35-39,AUS,05:34:51,04:38:06,10:19:25,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
60,Ben Mcdermid,1061,M 40-44,AUS,05:47:23,04:21:31,10:19:39,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
20,John Hallis,341,M 50-54,AUS,05:22:43,04:45:49,10:19:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
44,Jean Ferreira,390,M 30-34,AUS,05:28:35,04:40:16,10:19:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
47,Milan Kucera,462,M 45-49,CZE,06:20:03,03:49:52,10:20:14,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
48,Craig Moore,1284,M 45-49,AUS,05:14:41,04:55:44,10:20:23,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
21,Kent Dredge,339,M 50-54,AUS,05:53:09,04:15:51,10:20:24,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
22,Karl Buchanan,1406,M 50-54,NZL,05:38:29,04:25:04,10:20:25,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
23,Andreas Fuchs,1684,M 50-54,AUT,05:06:39,05:02:22,10:20:52,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
61,Rob Hickman,1026,M 40-44,AUS,05:37:14,04:30:36,10:20:55,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
10,Zoran Tadic,364,M 55-59,AUS,05:36:12,04:35:17,10:21:05,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
49,Sean Buerckner,1192,M 45-49,AUS,05:19:59,04:49:35,10:21:10,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
24,Ian Hainsworth,1427,M 50-54,AUS,05:29:47,04:38:00,10:21:12,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
39,Andrew Hachler,840,M 35-39,AUS,05:49:00,04:19:42,10:21:16,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
8,David Castle-Burns,548,M 18-24,AUS,05:31:21,04:37:29,10:21:21,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
14,Josef Svoboda,28,M PRO,CZE,05:24:53,04:48:14,10:21:31,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
25,Cameron Tunstall,624,M 25-29,AUS,06:09:09,04:07:51,10:21:49,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
3,Angela Clarke,180,F 50-54,AUS,05:46:10,04:28:29,10:21:55,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
50,Rajan Thananayagam,167,M 45-49,LKA,05:37:40,04:34:42,10:21:57,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
62,Jules Mclaughlin,1062,M 40-44,AUS,05:33:24,04:34:37,10:22:31,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
51,Justin Peers,1299,M 45-49,AUS,05:29:32,04:45:45,10:23:00,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
25,Phil Stoneman,1483,M 50-54,AUS,05:30:44,04:41:10,10:23:09,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
9,Nicolah Wadey,1685,F 30-34,AUS,06:05:19,04:09:25,10:23:20,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
17,Anne Musk,540,F 40-44,AUS,05:35:30,04:37:43,10:23:23,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
8,Tahlia Paskin,650,F 25-29,AUS,05:06:07,05:06:07,10:23:35,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
52,Wayne Ross,1310,M 45-49,NZL,05:11:16,05:05:50,10:23:36,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
63,Tobi Schnell,1096,M 40-44,AUS,05:29:37,04:43:47,10:23:45,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
14,Lauren Atlee,933,F 35-39,AUS,06:13:50,04:01:25,10:23:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
40,Peter Smith,413,M 35-39,AUS,05:53:29,04:20:35,10:24:04,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
10,Eleanor Tighe,796,F 30-34,GBR,06:05:33,04:07:42,10:24:39,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
53,Darren Powell,315,M 45-49,AUS,05:05:18,05:08:56,10:24:44,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
45,Duncan Rae,731,M 30-34,AUS,05:45:48,04:23:03,10:24:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
64,Nick Madden,1050,M 40-44,AUS,05:29:05,04:46:49,10:25:35,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
41,Ryan Kervin,856,M 35-39,AUS,05:32:02,04:42:56,10:25:39,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
42,Kevin Quinlan,526,M 35-39,AUS,05:44:05,04:28:12,10:26:02,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
26,Rodrigo Galan,585,M 25-29,AUS,06:03:30,04:12:16,10:26:06,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
46,Philipp Albert,386,M 30-34,AUS,05:23:39,04:51:16,10:26:25,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
9,Hikaru Yamazaki,564,M 18-24,JPN,05:56:44,04:15:50,10:26:59,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
47,Robert Porter,397,M 30-34,AUS,05:35:24,04:40:38,10:27:00,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
48,Johan Nyberg,191,M 30-34,SWE,05:38:38,04:39:39,10:27:08,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
26,Greg Jones,1436,M 50-54,NZL,05:36:33,04:36:22,10:27:37,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
43,Joachim Kjendlie,860,M 35-39,NOR,05:41:09,04:34:56,10:27:49,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
54,Ian Donald,1220,M 45-49,AUS,05:49:14,04:29:25,10:27:57,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
65,Terrance Britt,980,M 40-44,AUS,05:20:06,04:52:43,10:27:57,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
