Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
135,Kevin Beehner,1346,M30-34,USA,06:50:30,06:04:02,13:02:39,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
30,Janet Hunnius,1189,F55-59,USA,07:04:22,05:47:01,13:02:57,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
47,Laurinda Hammerkrohmer,1130,F50-54,UMI,07:51:09,04:54:51,13:03:06,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
180,Manish Sharma,2094,M50-54,IND,06:50:51,05:57:49,13:03:09,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
31,Denise Burleigh,1173,F55-59,USA,06:56:42,05:55:06,13:03:18,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
81,Paul Chard,353,M55-59,USA,07:11:21,05:38:44,13:03:19,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
32,Larry W Carpenter,2215,M60-64,USA,06:55:54,05:56:07,13:03:28,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
208,Mike Fiddyment,1820,M45-49,USA,07:14:08,05:35:33,13:03:34,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
89,Karis Youngblood,1030,F40-44,USA,07:25:11,05:29:11,13:03:37,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
82,Jonathan Hill,2166,M55-59,USA,07:22:05,05:29:26,13:04:07,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
90,Michelle Barber,917,F40-44,USA,06:52:01,06:00:26,13:04:12,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
209,Adam Rivenbark,1914,M45-49,USA,07:30:26,05:20:46,13:04:42,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
136,Josh McGrath,1407,M30-34,USA,06:29:17,06:24:19,13:04:52,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
158,Les Rose,1584,M35-39,USA,07:16:03,05:39:37,13:05:17,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
210,Kevin Tolva,1952,M45-49,USA,06:43:58,06:07:16,13:05:36,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
74,Clay Seal,1328,M25-29,USA,07:59:26,04:52:14,13:05:55,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
181,Eric Kiper,2039,M50-54,USA,06:42:33,06:11:21,13:06:04,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
3,David Heckmann,12,M PC,USA,06:34:01,06:16:56,13:06:07,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
4,Andrew Soderberg,13,M PC,USA,06:34:01,06:16:57,13:06:08,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
48,Patricia Porter,1153,F50-54,USA,06:24:44,06:29:38,13:06:10,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
