Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
79,Leah Moroney,830,F35-39,USA,07:06:03,06:20:55,13:36:09,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
97,Toby Carter,2468,M55-59,USA,06:31:28,06:55:56,13:36:36,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
98,Miguel De Las Casas,579,M55-59,PER,06:52:55,06:38:12,13:36:39,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
176,Richard Kanney,2340,M50-54,USA,07:01:35,06:21:07,13:36:43,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
207,Seth Crouch,2008,M45-49,USA,07:26:45,05:59:16,13:36:48,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
126,Timothy Guider,1446,M30-34,USA,07:09:32,06:12:53,13:37:08,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
99,Bruce Zawadzki,2586,M55-59,USA,06:53:35,06:31:18,13:37:10,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
96,Aileen Isidoro,1025,F45-49,USA,07:13:34,06:12:28,13:37:12,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
68,Amy Fletcher,1131,F50-54,USA,07:07:30,06:20:11,13:37:18,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
80,Jessica Sheely,452,F35-39,USA,07:02:02,06:23:16,13:37:19,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
177,Chris Richards,2403,M50-54,USA,06:52:31,06:32:04,13:37:44,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
97,Heather Griffin,114,F45-49,USA,07:15:04,06:09:39,13:37:46,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
69,Noreen Moloney,1170,F50-54,USA,07:19:49,06:08:01,13:37:54,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
110,Suzanne Yashewski,976,F40-44,USA,06:47:44,06:36:14,13:37:57,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
3,Kim Hanford,1269,F65-69,USA,06:42:56,06:50:35,13:37:58,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
208,Brendan Galbreath,544,M45-49,USA,06:45:45,06:45:14,13:38:08,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
27,Janette Spring,489,F55-59,CAN,07:06:45,06:25:20,13:38:35,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
127,Jonathan Tryon,1533,M30-34,USA,06:23:03,07:07:12,13:38:49,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
70,Tina Vande Guchte,1194,F50-54,USA,07:14:33,06:17:00,13:39:05,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
100,Luis Edgardo Alvarez Gonzalez,119,M55-59,MEX,06:42:56,06:39:37,13:39:10,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
81,Miranda Killingsworth,813,F35-39,USA,06:42:51,06:49:38,13:39:21,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
79,Jonathan Bohn,1309,M25-29,USA,06:25:18,07:05:14,13:39:23,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
98,Carla Hulshoff-Roche,1023,F45-49,USA,06:17:16,07:09:25,13:39:27,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
4,Kathleen Beith,1267,F65-69,USA,07:11:09,06:16:52,13:39:46,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
