Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
135,Mark Evans,395,M 45-49,USA,04:59:08,05:18:57,10:27:06,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
120,Kevin Zuech,1585,M 35-39,USA,05:33:52,04:40:46,10:27:24,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
4,Julie Theroux,1044,F 55-59,USA,05:13:59,05:08:09,10:27:26,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
27,Laura Lagomasino,743,F 40-44,USA,05:31:41,04:41:18,10:27:30,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
28,Anna Pasquini,329,F 40-44,ITA,05:37:25,04:41:35,10:27:40,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
27,Scott Slaven,2458,M 55-59,CAN,05:44:45,04:33:48,10:27:48,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
136,Mike Lafiandra,2667,M 45-49,USA,05:11:54,05:05:25,10:27:49,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
63,Ryan Goldsmith,1150,M 25-29,USA,05:45:19,04:33:34,10:27:59,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
137,Carl Philip,2040,M 45-49,USA,05:32:03,04:44:02,10:28:09,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
32,Lisa Smagala,672,F 35-39,USA,06:01:53,04:19:08,10:28:13,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
138,Jeff Zillmer,2129,M 45-49,USA,05:06:46,05:13:16,10:28:25,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
117,Michael Seltzer,1777,M 40-44,USA,05:27:25,04:51:35,10:28:30,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
33,Alexandra Gelleni Joly,627,F 35-39,VEN,05:54:00,04:22:14,10:28:31,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
118,Lance Slade,241,M 40-44,USA,05:33:12,04:45:31,10:28:36,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
139,Hung Pham,2039,M 45-49,USA,05:13:00,04:59:36,10:28:45,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
121,John Salierno,2647,M 35-39,USA,05:32:09,04:35:04,10:28:48,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
29,Jennifer Borovica,695,F 40-44,USA,05:39:44,04:38:34,10:28:51,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
78,Jeff Garry,2196,M 50-54,USA,04:46:48,05:31:23,10:28:56,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
72,Francisco Xavier Garcia Aleman,1277,M 30-34,MEX,05:13:16,05:06:15,10:28:58,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
122,Manmadh Rebba,1530,M 35-39,IND,05:29:40,04:49:05,10:29:16,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
140,Dominick Dayrit,1889,M 45-49,USA,05:42:57,04:36:23,10:29:18,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
79,Greg Mcauley,2260,M 50-54,USA,04:57:09,05:21:50,10:29:19,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
34,Rose Cook,614,F 35-39,USA,06:26:37,03:52:34,10:29:21,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
123,Roger Van Sluis,1571,M 35-39,USA,05:05:01,05:17:34,10:29:24,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
28,Hector Garcia,450,M 55-59,PRI,05:16:20,04:55:59,10:29:30,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
141,Peter Sistare,2079,M 45-49,USA,05:37:57,04:33:30,10:29:34,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
21,Doreen Kralick,860,F 45-49,USA,05:05:40,05:16:58,10:29:37,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
73,Andrew Soderberg,1346,M 30-34,USA,05:32:02,04:49:25,10:29:54,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
22,Heather Core,831,F 45-49,USA,05:38:23,04:40:33,10:30:00,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
119,Brad Medairy,1715,M 40-44,USA,05:38:36,04:39:27,10:30:19,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
15,Joe Yoder,1117,M 18-24,USA,05:42:56,04:38:57,10:30:22,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
120,Lawrence Arnold,376,M 40-44,USA,05:07:58,05:14:22,10:30:35,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
16,Drew Switzer,1109,M 18-24,USA,05:37:04,04:46:21,10:30:37,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
124,Arnel Alverio,1371,M 35-39,PRI,05:25:00,04:56:03,10:30:44,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
17,Travis Arnold,1081,M 18-24,USA,05:37:12,04:44:31,10:30:46,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
7,Harry Nothacker,2538,M 65-69,USA,05:43:07,04:30:26,10:30:51,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
125,Alex Rosero,1542,M 35-39,COL,04:55:41,05:27:08,10:30:51,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
121,Noel Croiger,1625,M 40-44,USA,05:37:06,04:43:26,10:30:57,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
80,Christopher Raynal,2583,M 50-54,USA,05:28:03,04:55:47,10:30:58,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
