Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
97,Marie-Pierre Stark-Flora,1475,F45-49,USA,03:27:48,02:20:21,05:59:23,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
165,Nicholas Faunce,2025,M35-39,USA,03:13:42,02:39:18,05:59:36,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
104,Joanna Campo,979,F40-44,USA,03:07:53,02:45:35,05:59:46,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
74,Kimberly Tully,1560,F50-54,USA,03:13:42,02:37:28,05:59:48,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
184,Al Kelly,2216,M40-44,USA,03:11:11,02:41:11,05:59:51,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
75,Cristi White,1564,F50-54,USA,03:01:28,02:52:40,05:59:53,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
97,Mark Gonze Md,2709,M55-59,USA,03:13:14,02:41:59,06:00:04,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
188,Ramesh Koka,2408,M45-49,USA,03:14:27,02:37:42,06:00:09,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
38,Ellen Golden,1586,F55-59,USA,03:36:28,02:15:26,06:00:22,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
105,Ute Reichling,1363,F40-44,USA,03:33:00,02:21:43,06:00:48,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
98,David E Knight,2723,M55-59,USA,03:13:46,02:37:09,06:01:07,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
40,Eric Singer,1678,M18-24,USA,03:06:30,02:45:26,06:01:09,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
189,George Abrams,2849,M45-49,USA,02:56:39,02:51:39,06:01:10,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
185,Ricky McCreadie,2242,M40-44,GUY,03:29:05,02:24:46,06:01:21,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
168,Jonathan Harris,733,M50-54,USA,03:07:40,02:46:52,06:01:27,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
76,Anja Elverding,1516,F50-54,NLD,03:17:12,02:40:01,06:01:35,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
186,Edgar Felipe,2184,M40-44,USA,03:16:24,02:34:56,06:01:37,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
98,Zena Horaibi,1430,F45-49,USA,03:16:12,02:39:25,06:01:41,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
59,Johann Cooper,2783,M60-64,USA,03:11:38,02:43:55,06:01:45,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
169,Mark Stoughton,2660,M50-54,USA,03:08:59,02:44:49,06:01:56,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
190,Brian Gross,2386,M45-49,USA,02:59:31,02:55:47,06:02:16,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
64,Nicole Bellamy,1122,F30-34,USA,03:22:03,02:34:47,06:02:17,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
154,Eric Griswold,1875,M30-34,USA,03:26:37,02:30:21,06:02:22,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
103,Jim Lennox,1750,M25-29,USA,03:23:09,02:34:24,06:02:35,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
72,Gina Nobile,1251,F35-39,USA,03:19:56,02:35:59,06:02:38,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
77,Donnie Orndorff,764,F50-54,USA,03:17:25,02:39:49,06:02:42,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
104,Steven Heyen,816,M25-29,USA,03:31:23,02:22:32,06:03:24,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
105,Avi Sage,1780,M25-29,USA,03:33:23,02:21:49,06:03:30,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
57,Megan Stauffer,1106,F25-29,USA,03:13:34,02:37:53,06:03:32,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
39,Melissa Sheldon,252,F55-59,USA,03:08:33,02:48:31,06:03:33,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
60,Jerry Slaughter,2816,M60-64,USA,03:16:41,02:42:09,06:03:43,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
61,Fred Giordano,961,M60-64,USA,03:07:53,02:45:13,06:03:51,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
106,Christine Lahaye,1330,F40-44,USA,03:16:42,02:40:46,06:03:58,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
40,Barbara Chelpaty,935,F55-59,USA,03:24:45,02:31:28,06:04:05,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
41,Robyn Cutler,1581,F55-59,USA,03:11:36,02:42:34,06:04:12,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
78,Cynthia Weinblatt,986,F50-54,USA,03:13:42,02:40:40,06:04:18,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
107,Nicole Bailey,1280,F40-44,USA,03:29:56,02:25:36,06:04:21,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
