Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
78,Sara Hartley,504,F50-54,USA,03:18:42,03:23:13,06:49:47,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
79,Thelma Salinas,753,F50-54,USA,03:26:07,03:15:21,06:50:40,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
204,Dave Harris,904,M40-44,USA,03:10:54,03:33:24,06:50:10,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
77,Nicole Kile,2217,F30-34,USA,03:30:36,03:09:04,06:50:26,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
220,Justin Pond,2476,M35-39,USA,03:30:13,03:10:58,06:50:57,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
109,Rhena Carr,868,F45-49,USA,03:22:06,03:20:47,06:50:47,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
205,Rex Tungala,1793,M40-44,USA,03:25:45,03:17:51,06:50:55,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
80,Bob Petersen,1527,M55-59,USA,03:13:06,03:25:14,06:51:11,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
16,Pamela Batungbacal,1020,F60-64,USA,03:33:26,03:10:37,06:51:16,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
155,Iskra Jacobo,1858,F40-44,MEX,03:36:30,03:08:36,06:51:33,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
206,Eric Miller,1742,M40-44,USA,03:05:05,03:34:30,06:51:38,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
118,Charity Combs,1190,F35-39,USA,03:17:23,03:25:50,06:52:29,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
221,Neil Maddox,2436,M35-39,USA,03:17:48,03:24:07,06:51:54,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
117,Dawn Packer,1248,F35-39,USA,03:40:44,03:03:09,06:51:56,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
80,Jodi Zajac,819,F50-54,USA,02:55:02,03:49:48,06:52:36,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
125,Russell Winkley,2630,M50-54,USA,03:11:02,03:29:08,06:52:21,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
110,Lourdes Santillan,1049,F45-49,USA,03:06:15,03:41:02,06:53:09,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
222,Sam Lemelle,1394,M45-49,USA,03:26:56,03:19:11,06:52:39,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
78,Nicolle Baker,2178,F30-34,USA,03:44:11,03:01:32,06:52:40,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
119,Shannon Frost,814,F35-39,USA,03:17:39,03:29:44,06:53:44,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
79,Rebecca Davis,2188,F30-34,USA,03:50:19,02:51:03,06:53:16,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
81,Stacey Sessions,818,F50-54,USA,02:56:15,03:49:47,06:53:44,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
222,Kevin Kim,1032,M35-39,USA,03:26:56,03:19:18,06:53:50,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
223,Derek Smith,691,M45-49,USA,03:20:43,03:24:51,06:54:32,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
159,Robby Marlow,2101,M30-34,USA,03:27:45,03:18:36,06:54:30,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
80,Christina Tomlinson,2259,F30-34,USA,03:31:12,03:18:57,06:55:04,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
81,Greg Fugett,960,M55-59,USA,02:55:37,03:53:07,06:54:34,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
111,Emily Spencealmaguer,698,F45-49,USA,03:15:25,03:31:13,06:55:26,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
160,Juan Beltran,2016,M30-34,USA,03:26:44,03:20:23,06:55:06,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
82,Janet Luna,657,F50-54,USA,03:18:00,03:29:21,06:55:09,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
17,Terri King,839,F60-64,USA,03:18:21,03:30:41,06:55:06,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
1,Alma Faz,101,F PC,USA,03:40:42,03:01:23,06:55:39,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
223,Daniel Arlitt,2348,M35-39,USA,03:23:41,03:18:54,06:55:49,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
81,Angelie Lara,2223,F30-34,USA,03:21:23,03:26:20,06:55:39,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
82,Bruce Hayes,893,M55-59,USA,03:40:44,03:01:24,06:55:40,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
82,Laura Egan,917,F30-34,USA,03:17:41,03:31:09,06:55:44,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
83,Betsy Boudreaux,1942,F50-54,USA,03:18:42,03:29:33,06:55:44,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
224,Angel Iturbide,1378,M45-49,GTM,03:08:45,03:30:25,06:56:27,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
83,Stephanie Orr,2238,F30-34,USA,03:31:01,03:16:51,06:55:53,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
156,Sara Banner,799,F40-44,USA,03:41:47,03:07:24,06:56:05,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
126,Eddie Bradshaw,2532,M50-54,USA,03:20:46,03:26:16,06:56:07,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
224,Larry Martinez,2441,M35-39,USA,03:31:48,03:15:40,06:56:24,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
161,Amish Bhatia,2017,M30-34,USA,03:17:59,03:29:39,06:56:41,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
41,Missy Paschall,708,F55-59,USA,03:30:21,03:20:27,06:57:15,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
112,Jamie Costas,1563,F45-49,USA,03:27:47,03:21:44,06:56:45,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
113,Keisha Ragoobir,923,F45-49,USA,03:10:49,03:40:18,06:56:51,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
83,Triet Huynh,1508,M55-59,USA,03:21:21,03:29:46,06:57:00,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
225,Tim Sullivan,1451,M45-49,USA,03:26:34,03:22:31,06:57:07,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
225,Josh Kear,2427,M35-39,USA,03:23:52,03:24:23,06:57:13,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
120,Leandra Ruiz,772,F35-39,USA,03:28:15,03:21:52,06:57:21,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
43,Rosemary Hall,2303,F55-59,USA,03:50:01,02:54:33,06:58:57,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
114,Rachel Carter,1559,F45-49,USA,03:21:08,03:27:53,06:57:22,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
13,Britta Colombo,2273,F18-24,USA,03:56:43,02:54:33,06:57:23,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
18,Arlene Stelzer,2336,F60-64,USA,03:51:04,03:01:42,06:58:19,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
84,Theresa Galura-Chiong,1954,F50-54,USA,03:34:54,03:14:59,06:58:42,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
