Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time
49,Kevin Lowry,999,M35-39,USA,00:39:09,02:35:18,01:41:44,05:03:29
50,Denis Savenkov,653,M35-39,USA,00:36:26,02:42:07,01:37:21,05:03:34
51,Michael Marshall,565,M35-39,USA,00:33:54,02:39:38,01:43:15,05:03:39
17,Kyle Brown,2614,M50-54,USA,00:39:54,02:33:36,01:40:20,05:03:43
52,Zach Shore,523,M35-39,USA,00:36:12,02:41:37,01:38:45,05:03:44
28,Scott Catto,2994,M25-29,GBR,00:33:42,02:38:06,01:45:21,05:03:51
56,Joseph Sullens,70,MPRO,USA,00:30:51,02:30:33,01:55:52,05:03:56
24,Kevin Jones,668,M45-49,USA,00:37:08,02:35:21,01:40:50,05:03:58
27,Adam Hullinger,1221,M40-44,USA,00:31:07,02:40:14,01:44:59,05:03:59
-,Team Rick Bangerter Roofing,4035,RELAY,USA,00:33:04,02:24:40,02:01:04,05:04:11
9,Katherine Thompson,272,F30-34,USA,00:34:17,02:47:19,01:34:28,05:04:21
18,Tyre Eggert,449,M50-54,USA,00:33:04,02:42:07,01:41:28,05:04:22
40,Ian Knox,2865,M30-34,USA,00:32:02,02:47:54,01:35:03,05:04:26
29,Daniel Day,1618,M25-29,USA,00:25:47,02:39:23,01:50:19,05:04:29
28,Paul Burger,2161,M40-44,USA,00:32:30,02:31:24,01:54:16,05:04:31
19,Michael Middleton,1382,M50-54,USA,00:35:21,02:37:06,01:44:17,05:04:34
53,Deepak Nagendra,1378,M35-39,USA,00:28:31,02:50:51,01:37:18,05:04:35
5,Jennifer Stoner,2427,F35-39,USA,00:34:07,02:40:28,01:40:44,05:04:48
6,Anna Grant,266,F35-39,USA,00:26:47,02:37:35,01:54:07,05:04:57
29,Gerardo Valenciatrujillo,2777,M40-44,USA,00:33:17,02:43:27,01:38:54,05:05:00
54,Ivan Rodriguez,473,M35-39,USA,00:38:49,02:40:08,01:36:51,05:05:13
20,Robert Chatterton,464,M50-54,GBR,00:36:21,02:39:51,01:40:32,05:05:32
7,Gillian Micoli,315,F35-39,USA,00:29:27,02:51:05,01:38:39,05:05:36
14,Gene Betances,1520,M18-24,USA,00:33:16,02:44:44,01:39:23,05:05:39
3,Anne Haehner,2862,F40-44,CRI,00:32:13,02:47:07,01:36:46,05:05:57
4,Maddie Durkin,2435,F40-44,USA,00:30:44,02:48:56,01:37:52,05:06:01
30,Spencer Thibideau,1988,M25-29,USA,00:31:33,02:36:43,01:50:03,05:06:05
55,Roy Hichens,638,M35-39,USA,00:32:16,02:39:00,01:45:28,05:06:07
30,Dan Whitney,2004,M40-44,USA,00:32:12,02:37:48,01:46:41,05:06:10
25,Bart Preston,190,M45-49,USA,00:38:03,02:35:13,01:46:08,05:06:23
4,Kami Banks,325,F45-49,USA,00:35:20,02:44:16,01:40:37,05:06:45
7,Jeff Brandenburg,1558,M55-59,USA,00:36:06,02:29:45,01:52:55,05:06:57
41,Carl Anderson,2811,M30-34,USA,00:33:07,02:35:34,01:50:30,05:07:05
10,Molly Lesser,672,F30-34,USA,00:35:13,02:44:50,01:41:01,05:07:10
42,AJ Bauser,2719,M30-34,USA,00:35:44,02:46:26,01:37:16,05:07:19
8,Christine Warren,364,F35-39,USA,00:31:09,02:46:34,01:43:33,05:07:26
21,Dan Beaver,369,M50-54,USA,00:32:25,02:38:55,01:47:12,05:07:41
43,John Aselton,1443,M30-34,USA,00:28:01,02:51:47,01:41:08,05:07:41
2,Jim Larrieu,306,M60-64,USA,00:35:07,02:36:57,01:45:52,05:07:45
44,Alex Martin,2399,M30-34,USA,00:30:28,02:26:48,01:58:36,05:07:46
45,Cameron Wynhof,2539,M30-34,USA,00:27:16,02:49:35,01:41:49,05:07:47
31,Matthew Ponder,811,M25-29,USA,00:31:11,02:32:31,01:55:53,05:07:58
9,Ursela Knezevic,1184,F35-39,USA,00:35:02,02:40:25,01:45:02,05:08:02
46,Kevin Adams,2923,M30-34,USA,00:46:24,02:24:58,01:49:13,05:08:14
10,Tania Hernandez,561,F35-39,MEX,00:28:13,02:49:07,01:44:47,05:08:16
27,Lara Gruden,42,FPRO,USA,00:29:50,02:42:07,01:51:11,05:08:18
5,Renee Swinson,291,F45-49,USA,00:33:04,02:40:23,01:48:08,05:08:23
56,Maikol Cerda,667,M35-39,USA,00:34:59,02:40:24,01:44:53,05:08:37
26,Jeff Monson,1276,M45-49,USA,00:34:44,02:39:53,01:44:49,05:08:41
22,Kevin Capasso,409,M50-54,USA,00:41:37,02:37:58,01:38:56,05:08:46
47,Pascal Lestable,1001,M30-34,FRA,00:38:34,02:45:22,01:38:33,05:08:46
57,Chris Bancroft,678,M35-39,USA,00:34:34,02:37:22,01:49:26,05:08:48
48,Christian Sande,535,M30-34,USA,00:32:10,02:36:33,01:51:35,05:08:48
11,Cheyenne Noble,652,F35-39,USA,00:35:35,02:38:32,01:48:53,05:08:50
8,Pasquale Romano,134,M55-59,USA,00:40:17,02:34:17,01:46:59,05:08:53
9,Ryan Mongan,2088,M55-59,USA,00:33:07,02:38:44,01:50:25,05:09:04
31,Jordan DeSilva,927,M40-44,USA,00:33:56,02:39:55,01:47:40,05:09:09
10,Anthony Avila,659,M55-59,USA,00:36:59,02:37:30,01:47:11,05:09:12
27,David Carne,2983,M45-49,USA,00:40:15,02:40:12,01:35:54,05:09:24
58,Sean Kilpatrick,686,M35-39,USA,00:32:34,02:34:56,01:54:19,05:09:28
32,Aaron McLemore,2075,M40-44,USA,00:39:16,02:40:07,01:40:23,05:09:32
1,Jennifer Campbell,1671,F18-24,USA,00:24:38,02:43:12,01:55:01,05:09:36
15,Jack Troxel,1605,M18-24,USA,00:25:02,02:45:14,01:51:25,05:09:42
32,Kyler Cipriano,1117,M25-29,USA,00:36:10,02:40:17,01:45:39,05:09:44
23,Chris Douville,297,M50-54,USA,00:35:45,02:32:24,01:53:24,05:09:48
33,Duane Graham,978,M40-44,USA,00:34:57,02:37:10,01:49:41,05:09:55
16,Michael Macias,2911,M18-24,USA,00:33:40,02:40:34,01:46:33,05:09:56
24,Shaun Endsley,283,M50-54,USA,00:34:51,02:35:57,01:52:42,05:10:01
49,Darren Wood,350,M30-34,USA,00:32:15,02:40:04,01:50:54,05:10:05
25,Rich Cimadoro,2905,M50-54,USA,00:35:14,02:36:13,01:50:23,05:10:09
34,Matthew Vella,958,M40-44,USA,00:33:50,02:44:36,01:44:08,05:10:22
59,Zachary West,2355,M35-39,USA,00:40:15,02:29:16,01:49:54,05:10:44
11,Greg Tayler,2027,M55-59,USA,00:28:32,02:30:15,02:00:48,05:10:44
12,Vanessa Foerster,642,F35-39,USA,00:31:29,02:47:25,01:45:43,05:10:44
33,Matthew Burnett,2291,M25-29,USA,00:29:46,02:40:17,01:52:37,05:10:58
3,Carley Gross,1413,F25-29,USA,00:31:58,02:44:12,01:48:51,05:11:09
60,Mac Golonka,1696,M35-39,USA,00:31:35,02:39:36,01:48:02,05:11:11
35,Devin Healey,1963,M40-44,USA,00:33:03,02:50:21,01:41:13,05:11:22
12,Bob Schaller,407,M55-59,USA,00:40:21,02:41:13,01:40:01,05:11:28
36,Ryan Harris,2797,M40-44,USA,00:38:51,02:37:40,01:47:04,05:11:29
37,Ryan Ellis,408,M40-44,USA,00:36:08,02:42:19,01:45:58,05:11:29
50,Maximilian Schmitt,2090,M30-34,DEU,00:37:24,02:40:18,01:44:52,05:11:32
4,Jessica Cooper,413,F25-29,USA,00:32:26,02:44:07,01:48:10,05:11:32
5,Nicole Krill,1887,F25-29,USA,00:37:04,02:43:36,01:43:46,05:11:40
28,Kyan Newman,2929,M45-49,USA,00:33:25,02:34:33,01:56:36,05:11:42
38,Ciprian Albu,1420,M40-44,USA,00:29:12,02:45:33,01:46:31,05:11:46
11,Laura Marcoux,352,F30-34,USA,00:32:05,02:47:14,01:45:15,05:11:51
51,Michael Locatell,1334,M30-34,USA,00:27:25,02:41:07,01:57:09,05:11:53
26,Michael Rushton,217,M50-54,USA,00:34:36,02:29:05,02:01:36,05:11:57
52,Isaac Derobles,1346,M30-34,USA,00:34:46,02:40:59,01:46:19,05:12:09
53,Nick Goldston,767,M30-34,USA,00:35:22,02:35:12,01:52:53,05:12:09
6,Marcella Rietz,319,F45-49,USA,00:35:49,02:43:16,01:45:27,05:12:12
12,Anne Maher,1837,F30-34,USA,00:32:02,03:00:11,01:29:09,05:12:13
27,Glenn Olsen,502,M50-54,USA,00:34:13,02:22:55,02:03:40,05:12:25
5,Brigitta Gruenberg,897,F40-44,USA,00:28:23,02:43:57,01:51:15,05:12:36
61,Michael Hooper,709,M35-39,USA,00:31:26,02:48:19,01:45:10,05:12:39
39,Jon Nicanor,594,M40-44,USA,00:36:22,02:37:25,01:50:53,05:12:40
40,Andrew Eichelberger,851,M40-44,USA,00:41:45,02:40:50,01:40:35,05:12:42
1,Julie Dunkle,353,F55-59,USA,00:26:54,02:42:08,01:56:48,05:12:45
28,John Kelsch,2038,M50-54,USA,00:31:31,02:42:52,01:50:38,05:12:52
34,Nikolay Makhnenko,289,M25-29,RUS,00:32:34,02:40:33,01:52:23,05:12:53
2,Kiki Silver,2989,F50-54,USA,00:32:55,02:46:12,01:44:08,05:12:55
54,Michael Mansfield,2618,M30-34,USA,00:36:56,02:36:31,01:48:37,05:12:56
41,Michael Krug,648,M40-44,USA,00:36:29,02:41:08,01:47:29,05:13:06
35,Chandler Fischbeck,2229,M25-29,USA,00:29:20,02:34:15,02:02:58,05:13:08
13,Emma Daugherty,1088,F30-34,USA,00:33:10,02:51:13,01:41:44,05:13:30
14,Julia Rohracker,2060,F30-34,DEU,00:32:13,02:52:57,01:41:08,05:13:30
29,John Zimmerman,2790,M45-49,USA,00:34:51,02:39:30,01:48:53,05:13:30
29,Marc Rosello,1249,M50-54,USA,00:35:30,02:40:59,01:47:40,05:13:46
30,Josiah Garrison,716,M45-49,USA,00:34:07,02:41:02,01:52:18,05:14:03
36,Matthew Olson,1148,M25-29,USA,00:36:11,02:42:20,01:48:46,05:14:12
42,Jeff Dolan,445,M40-44,USA,00:37:46,02:38:43,01:49:13,05:14:12
6,Maria Guerrero,430,F40-44,ECU,00:39:03,02:41:54,01:46:21,05:14:33
13,William Brinkop,511,M55-59,USA,00:37:17,02:41:07,01:44:38,05:14:38
17,Justin Knasel,669,M18-24,USA,00:27:05,02:36:11,02:04:12,05:14:39
43,Brandon Lee,2396,M40-44,USA,00:36:29,02:52:32,01:36:47,05:14:41
37,Julien Ravinel,1993,M25-29,FRA,00:34:28,02:39:18,01:51:03,05:14:45
14,David Halvorson,586,M55-59,USA,00:37:19,02:30:35,01:56:23,05:14:46
44,Jon Yance,1032,M40-44,USA,00:38:14,02:39:14,01:49:53,05:14:53
31,Joel Rutledge,214,M45-49,USA,00:31:54,02:44:21,01:47:52,05:14:53
32,Christopher Ginn,836,M45-49,USA,00:32:59,02:49:31,01:44:08,05:15:00
15,John Bursell,834,M55-59,USA,00:35:54,02:34:43,01:55:14,05:15:05
62,Christopher Adams,945,M35-39,USA,00:37:14,02:37:39,01:48:49,05:15:07
38,Daniel Martin Caballero,1089,M25-29,ESP,00:35:44,02:41:55,01:48:12,05:15:28
15,Casey Adams,1367,F30-34,USA,00:33:45,02:47:11,01:47:45,05:15:31
55,Michael MacKelvie,2002,M30-34,USA,00:37:58,02:42:49,01:44:13,05:15:36
30,Eric Bertelsen,2608,M50-54,USA,00:32:50,02:35:47,01:57:18,05:15:45
-,Team Guys,4053,RELAY,USA,00:29:27,02:49:08,01:50:54,05:15:48
39,Sun Greene,2036,M25-29,USA,00:30:37,02:47:16,01:48:59,05:16:06
31,Steven Bang,367,M50-54,USA,00:31:36,02:36:47,02:00:04,05:16:09
33,Brent Detta,1626,M45-49,USA,00:33:16,02:40:15,01:55:55,05:16:42
63,Brian Stephens,2747,M35-39,USA,00:37:44,02:38:12,01:51:07,05:16:44
56,Michael Olsen,609,M30-34,USA,00:35:44,02:35:29,01:55:10,05:16:49
34,Toby Miller,355,M45-49,USA,00:34:07,02:38:02,01:57:46,05:16:54
64,Andrew Schmidt,2958,M35-39,AUS,00:33:58,02:50:11,01:44:04,05:17:17
57,Casey Acaster,2039,M30-34,USA,00:39:57,02:37:58,01:50:03,05:17:21
40,Brendon Vogel,2642,M25-29,USA,00:32:37,02:44:57,01:50:43,05:17:26
16,Andrea Gableman,2073,F30-34,USA,00:30:25,02:44:42,01:56:42,05:17:26
65,Robert McCue,2551,M35-39,USA,00:33:46,02:43:19,01:54:02,05:17:27
41,Justin Whitman,2459,M25-29,USA,00:36:15,02:45:59,01:46:08,05:17:29
45,Brad Vest,1881,M40-44,USA,00:34:03,02:50:43,01:41:04,05:17:31
13,Maurya Couvares,280,F35-39,USA,00:27:41,02:47:48,01:55:48,05:17:38
58,Daniel Zanoni,2562,M30-34,USA,00:38:26,02:41:36,01:44:55,05:17:39
18,Owen Bartlett,2750,M18-24,USA,00:36:30,02:49:26,01:42:57,05:17:43
7,Kirsten McCay,589,F45-49,USA,00:31:22,02:51:31,01:47:26,05:17:44
6,Casey Fleming,354,F25-29,USA,00:33:51,02:42:10,01:54:22,05:17:44
32,Mike Deck,1751,M50-54,USA,00:39:20,02:43:41,01:44:58,05:17:48
59,Matt Duffy,1823,M30-34,USA,00:30:04,02:48:58,01:51:24,05:17:48
60,Brandon Carlile,1207,M30-34,USA,00:34:25,02:37:30,01:56:29,05:17:48
19,Ben Schlesier,2108,M18-24,USA,00:25:42,02:32:07,02:10:39,05:17:48
42,Michael Bussiere,2819,M25-29,USA,00:29:53,02:41:32,01:54:28,05:17:56
61,Sean Lopez,2852,M30-34,USA,00:39:29,02:38:11,01:49:29,05:18:01
33,Bret Lucas,538,M50-54,USA,00:29:30,02:45:34,01:55:17,05:18:09
66,Tyler Anderson,456,M35-39,USA,00:33:18,02:43:54,01:51:12,05:18:12
17,Emily Annis,634,F30-34,USA,00:33:40,02:52:22,01:45:15,05:18:14
7,Tiffany Blair,812,F40-44,USA,00:34:54,02:49:32,01:46:30,05:18:27
35,Nicolas Gonzales Nagels,335,M45-49,USA,00:33:06,02:38:24,01:59:39,05:18:46
67,Pavel Semenov,1992,M35-39,RUS,00:36:32,02:37:27,01:54:21,05:18:46
14,Annette Rogers,326,F35-39,USA,00:28:27,02:47:13,01:56:02,05:18:46
15,Lauren Vallee,415,F35-39,USA,00:31:12,02:43:18,01:57:35,05:18:55
68,Raymond Rodriguez,1140,M35-39,USA,00:44:40,02:48:31,01:36:33,05:19:09
16,Jennifer Vollmann,348,F35-39,USA,00:33:41,02:39:18,01:58:20,05:19:11
46,Michael Dwyer,1584,M40-44,USA,00:37:30,02:38:02,01:55:24,05:19:12
8,Robin White,2006,F45-49,USA,00:29:00,02:52:14,01:49:54,05:19:22
36,Shawn O'Shea,746,M45-49,USA,00:34:36,02:42:30,01:54:25,05:19:23
62,Tony Maldonado,808,M30-34,USA,00:35:25,02:42:09,01:52:54,05:19:27
3,Mark Malone,374,M60-64,USA,00:35:02,02:43:38,01:50:40,05:19:54
47,Ryan Healey,1964,M40-44,USA,00:36:23,02:45:44,01:50:54,05:20:01
48,Kevin Angle,2615,M40-44,USA,00:39:28,02:46:25,01:45:30,05:20:05
37,Rodolfo Ocejo,1551,M45-49,USA,00:36:04,02:47:11,01:46:23,05:20:06
16,Jaime Dispenza,457,M55-59,USA,00:32:10,02:44:00,01:55:02,05:20:12
43,Justin Elliott,1818,M25-29,USA,00:40:13,02:40:39,01:50:41,05:20:13
69,William Khachadourian,2603,M35-39,USA,00:38:55,02:40:12,01:52:24,05:20:36
70,Darren Hamman,524,M35-39,USA,00:31:06,02:44:31,01:58:02,05:20:59
7,Amanda Barnes,270,F25-29,USA,00:32:15,02:49:59,01:52:14,05:21:02
18,Heather Wilson,2426,F30-34,USA,00:34:36,02:49:26,01:50:12,05:21:12
63,Bobby Hannah,751,M30-34,USA,00:32:04,02:45:50,01:51:33,05:21:14
38,Nate Gentry,2980,M45-49,USA,00:36:58,02:51:04,01:43:31,05:21:17
49,Matthew Bristow,1259,M40-44,USA,00:38:03,02:35:33,02:00:27,05:21:21
-,Team Los Sbd Hermanos,4021,RELAY,USA,00:41:55,02:49:05,01:45:06,05:21:21
19,Mali Gaber,2888,F30-34,USA,00:32:49,02:51:47,01:49:55,05:21:34
17,Brendan Hemp,889,M55-59,USA,00:34:32,02:42:04,01:55:32,05:21:38
18,Duane Morrison,2083,M55-59,USA,00:32:36,02:43:17,01:58:36,05:21:43
64,Corbin Kembel,2357,M30-34,USA,00:34:31,02:40:56,01:59:07,05:21:48
19,Ted Albertson,311,M55-59,USA,00:38:31,02:38:34,01:53:48,05:21:56
20,Stephen Kukta,540,M55-59,USA,00:37:13,02:39:16,01:58:05,05:22:01
39,Ryan O'Harren,797,M45-49,USA,00:37:03,02:36:49,01:55:50,05:22:01
44,Sam Nelson,815,M25-29,USA,00:34:54,02:46:54,01:48:57,05:22:17
65,Christopher Sakacs,2115,M30-34,USA,00:29:28,02:48:30,01:55:48,05:22:18
40,Darron Woolley,2833,M45-49,USA,00:33:59,02:50:49,01:49:18,05:22:25
2,Bridget Foote,2460,F18-24,USA,00:27:06,02:45:40,02:00:16,05:22:33
8,Elizabeth Pratt,3071,F40-44,USA,00:30:53,02:48:03,01:56:41,05:22:39
21,James Chriss,980,M55-59,USA,00:33:10,02:43:29,01:55:45,05:22:42
17,Jamie Schmelzer,1421,F35-39,USA,00:30:41,03:00:12,01:43:18,05:22:43
45,Michael Fink,2581,M25-29,USA,00:32:27,02:43:58,01:56:28,05:22:43
41,Joshua Leishman,1280,M45-49,USA,00:35:44,02:52:11,01:47:44,05:22:48
34,Mike Smith,512,M50-54,USA,00:33:48,02:47:21,01:54:08,05:22:50
42,David McAlvany,970,M45-49,USA,00:35:50,02:43:02,01:54:40,05:22:51
22,Zane Morris,2147,M55-59,USA,00:39:15,02:44:06,01:50:44,05:23:08
66,Ian Burns,680,M30-34,USA,00:36:27,02:44:54,01:48:01,05:23:25
67,Myles Illion,1660,M30-34,USA,00:33:07,02:48:41,01:54:06,05:23:29
20,Sarah Terry,688,F30-34,USA,00:38:58,02:50:39,01:46:00,05:23:37
71,Jonathan Harmse,2781,M35-39,USA,00:28:10,02:48:25,01:58:56,05:23:53
50,Seth Brazier,847,M40-44,USA,00:33:22,02:49:18,01:52:26,05:23:53
68,Ryland French,2158,M30-34,USA,00:35:44,02:47:43,01:50:23,05:23:58
9,Jane Pilger,358,F45-49,USA,00:31:15,02:45:17,01:59:15,05:24:00
51,John Hatch,2462,M40-44,USA,00:34:34,02:44:31,01:53:55,05:24:10
35,Matthew Cressa,623,M50-54,USA,00:33:47,02:48:37,01:52:21,05:24:13
4,Bruce Geise,282,M60-64,USA,00:35:57,02:47:41,01:52:00,05:24:17
69,Nicholas McMurray,907,M30-34,USA,00:34:00,02:43:15,01:53:50,05:24:17
52,Dobrisa Jurkovic,1511,M40-44,USA,00:39:55,02:44:22,01:50:41,05:24:23
10,Jennifer Temperley,151,F45-49,USA,00:31:12,02:43:20,02:02:17,05:24:27
9,Megan Mickelson,479,F40-44,USA,00:38:42,02:43:46,01:53:26,05:24:31
20,Sebastian Trias,1684,M18-24,USA,00:27:05,02:39:48,02:10:44,05:24:36
46,Tommy Brooks,1721,M25-29,USA,00:27:59,02:45:24,01:58:38,05:24:37
8,Meghan Smith,913,F25-29,USA,00:30:22,02:52:12,01:56:00,05:24:51
72,Max Kam,1350,M35-39,HKG,00:43:28,02:45:11,01:47:02,05:24:59
73,Adam Sczech,712,M35-39,USA,00:43:01,02:37:26,01:52:04,05:25:03
9,Olivia Dietzel,700,F25-29,USA,00:32:03,02:56:56,01:46:08,05:25:03
10,Rebekah Walker,406,F40-44,USA,00:33:48,02:52:50,01:49:54,05:25:05
11,Marlene Zeug,359,F45-49,USA,00:34:04,02:52:02,01:52:02,05:25:07
53,Matt Carson,615,M40-44,USA,00:35:25,02:43:37,01:58:06,05:25:13
36,Brent Edmonds,918,M50-54,USA,00:37:42,02:38:47,01:56:58,05:25:14
74,Jeff Strittmatter,1241,M35-39,USA,00:38:07,02:39:31,01:57:48,05:25:16
23,Tom Aaker,295,M55-59,USA,00:33:59,02:46:16,01:53:11,05:25:24
75,Mario Wilson,705,M35-39,USA,00:34:20,02:40:36,02:02:09,05:25:24
76,Mark Pomerantz,2437,M35-39,USA,00:36:23,02:46:01,01:55:23,05:25:32
24,Kevin Miller,1877,M55-59,USA,00:41:58,02:42:35,01:50:22,05:25:33
21,Mark Petrovic,2752,M18-24,USA,00:41:57,02:36:51,01:57:27,05:25:34
54,Rustem Galimov,324,M40-44,RUS,00:37:47,02:45:46,01:53:40,05:25:42
77,Andrey Vyrvich,1090,M35-39,RUS,00:34:49,02:44:51,01:58:28,05:25:47
47,Josh Mazie,2044,M25-29,USA,00:36:29,02:47:52,01:52:58,05:26:01
48,Alex Cohen,1582,M25-29,USA,00:39:38,02:49:48,01:44:28,05:26:05
43,Jayson Fultz,1394,M45-49,USA,00:32:53,02:48:01,01:57:04,05:26:16
44,Johnny Frisbie,521,M45-49,USA,00:41:00,02:46:18,01:47:38,05:26:17
11,Elizabeth Dansie,814,F40-44,USA,00:41:09,02:48:13,01:48:54,05:26:22
25,Alex Smith,1750,M55-59,USA,00:33:38,02:47:16,01:55:49,05:26:22
70,Taj Rockitt,647,M30-34,USA,00:42:28,02:36:24,01:59:06,05:26:24
37,Chad Krippner,1481,M50-54,USA,00:42:16,02:46:19,01:47:55,05:26:27
78,Brandon Borchert,1251,M35-39,USA,00:43:22,02:36:48,01:55:54,05:26:33
55,Justin Jager,898,M40-44,USA,00:39:29,02:48:59,01:51:00,05:26:35
21,Camellia Hill,1860,F30-34,CAN,00:39:10,02:48:26,01:50:40,05:26:37
79,Cody Olsen,2005,M35-39,USA,00:37:52,02:42:41,01:58:06,05:26:38
10,Amy Yeoman,2740,F25-29,USA,00:33:54,02:44:55,02:00:28,05:26:43
80,AJ Alley,757,M35-39,USA,00:36:07,02:44:14,01:57:56,05:26:45
81,Vail Rooney,2796,M35-39,USA,00:38:44,02:49:47,01:46:06,05:26:45
56,Spencer Summerhays,1118,M40-44,USA,00:37:33,02:49:27,01:51:54,05:26:58
45,Andrew Mickelson,1002,M45-49,USA,00:37:58,02:44:04,01:56:07,05:27:05
82,Todd Wiederhold,1082,M35-39,USA,00:30:03,02:45:04,02:02:35,05:27:10
49,Zach Madson,2863,M25-29,USA,00:34:19,02:46:58,01:55:41,05:27:10
3,Leslie Babbel,2432,F50-54,USA,00:31:22,02:57:51,01:48:22,05:27:13
38,Kyle Stone,392,M50-54,USA,00:39:08,02:48:22,01:50:14,05:27:15
46,Chandler Blake,1242,M45-49,USA,00:36:21,02:43:56,02:00:36,05:27:17
47,Chad Lund,491,M45-49,USA,00:32:23,02:56:09,01:48:54,05:27:24
71,Alex Hildebrandt,800,M30-34,USA,00:36:59,02:49:32,01:51:57,05:27:34
26,Rod Matteri,135,M55-59,USA,00:34:29,02:49:42,01:54:58,05:27:37
22,Sidney Shaskan,2883,M18-24,USA,00:34:30,02:50:30,01:52:21,05:27:38
-,Team Shake & Bake,4038,RELAY,USA,00:52:01,02:47:20,01:41:53,05:27:39
12,Karen Richards,2613,F45-49,USA,00:35:40,02:47:51,01:53:49,05:27:49
39,John Diepeveen,1647,M50-54,USA,00:37:47,02:46:09,01:54:14,05:27:56
48,Ralph Tan,1033,M45-49,USA,00:40:37,02:43:58,01:53:26,05:28:15
49,Matt Vaughan,1665,M45-49,USA,00:36:21,02:53:46,01:49:38,05:28:16
50,Steven Conroy,923,M45-49,USA,00:43:53,02:47:09,01:48:39,05:28:20
51,Jeremy Dixon,175,M45-49,USA,00:36:31,02:48:25,01:55:43,05:28:26
72,Millad Mortazavi,3107,M30-34,USA,00:42:19,02:50:36,01:41:36,05:28:28
83,Brett Manning,1097,M35-39,GBR,00:39:12,02:40:25,01:58:35,05:28:31
40,Joseph Nye,494,M50-54,USA,00:37:50,02:53:08,01:48:36,05:28:34
50,Gaelen Guzman,1586,M25-29,USA,00:36:18,02:42:13,01:56:20,05:28:36
57,Daniel Hughes,704,M40-44,USA,00:37:56,02:48:01,01:53:27,05:28:37
52,Danny Luedtke,862,M45-49,USA,00:40:41,02:45:01,01:51:48,05:28:53
41,Gordon Jarratt,365,M50-54,USA,00:29:51,02:48:13,02:02:03,05:28:55
18,Stephanie Melkonian,559,F35-39,USA,00:32:19,02:54:15,01:55:34,05:29:05
58,Daniel Adlong,2369,M40-44,USA,00:36:46,02:49:50,01:52:06,05:29:12
51,Kevin Yeoman,2742,M25-29,USA,00:30:39,02:45:07,02:02:21,05:29:14
42,Steve Ouwinga,1938,M50-54,USA,00:33:23,02:45:25,02:02:39,05:29:19
84,Brian Black,1226,M35-39,USA,00:36:51,02:36:02,02:09:22,05:29:26
53,Charles Turner,482,M45-49,USA,00:33:21,02:48:38,01:59:31,05:29:30
43,Greg Rich,763,M50-54,USA,00:39:05,02:51:42,01:50:14,05:29:30
19,Ayda Kachineh,1417,F35-39,USA,00:37:05,02:45:18,01:59:15,05:29:31
11,Ellie Thompson,1661,F25-29,USA,00:28:18,02:52:35,01:58:15,05:29:36
73,Corey O'Connor,2286,M30-34,USA,00:33:07,02:53:03,01:51:58,05:29:46
44,Scott White,818,M50-54,USA,00:29:52,02:52:22,01:58:06,05:29:57
5,Mark Reinhard,949,M60-64,USA,00:29:06,02:50:29,02:00:16,05:29:59
23,Tyler Logan,2971,M18-24,USA,00:41:46,02:59:07,01:36:56,05:30:01
22,Kristi Neeld,1936,F30-34,USA,00:35:27,02:41:18,02:05:56,05:30:02
45,Tyler Ford,2496,M50-54,USA,00:29:30,02:44:56,02:07:00,05:30:03
59,Derek Bleazard,1737,M40-44,USA,00:34:02,02:38:06,02:05:10,05:30:10
1,Bruce Thompson,956,M65-69,USA,00:35:15,02:52:35,01:52:56,05:30:14
60,Chris Overton,1191,M40-44,USA,00:33:40,02:47:40,02:01:00,05:30:19
24,Zeke Pyle,2425,M18-24,USA,00:33:03,02:53:53,01:55:42,05:30:21
85,Adam Block,992,M35-39,USA,00:41:17,02:37:26,02:00:39,05:30:35
25,Galen Penvenne,2812,M18-24,USA,00:24:39,02:42:47,02:14:53,05:30:36
54,Layne Argyle,737,M45-49,USA,00:38:50,02:36:01,02:07:38,05:30:37
55,Tim Young,828,M45-49,GBR,00:39:29,02:44:46,01:54:44,05:30:43
27,Craig Zelent,906,M55-59,USA,00:34:49,02:59:49,01:46:23,05:30:49
74,Stephen Bean,1352,M30-34,USA,00:33:49,02:51:45,01:55:18,05:30:52
20,Jodie Totten,831,F35-39,USA,00:29:30,03:00:50,01:52:52,05:30:55
46,Dan Mills,552,M50-54,USA,00:40:22,02:44:28,01:54:11,05:30:56
13,Elizabeth Brennell,953,F45-49,USA,00:30:45,02:54:18,01:57:47,05:31:07
86,Daniel Bell,498,M35-39,USA,00:35:49,02:42:18,02:04:52,05:31:14
14,Jennifer Razee,547,F45-49,USA,00:36:10,02:51:27,01:57:16,05:31:17
87,Connor Fitzpatrick,1355,M35-39,USA,00:39:56,02:55:39,01:44:49,05:31:20
26,Luke Nydam,2993,M18-24,USA,00:35:14,02:38:05,02:08:22,05:31:24
61,Matthew Ward,1187,M40-44,USA,00:34:40,02:52:06,01:56:27,05:31:38
6,Craig Stoller,937,M60-64,USA,00:37:43,02:55:47,01:45:14,05:31:39
23,Angela Kay,640,F30-34,USA,00:34:26,02:49:40,01:58:27,05:31:39
28,Eric Solberg,1697,M55-59,USA,00:41:22,02:45:04,01:55:16,05:31:39
15,Ali Rutledge,213,F45-49,USA,00:32:32,02:51:57,01:56:31,05:31:40
56,Justin Dalton,967,M45-49,USA,00:35:26,02:49:24,01:56:28,05:31:42
