Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time
3,Davis Frease,321,M30-34,USA,00:25:20,02:19:45,01:32:30,04:23:02
49,Pablo Gomez,96,MPRO,COL,00:27:13,02:20:02,01:30:50,04:23:22
5,Michael Chronert,514,M25-29,USA,00:31:09,02:15:13,01:29:01,04:23:27
50,Andy Krueger,105,MPRO,USA,00:24:45,02:20:08,01:34:17,04:23:38
51,Ben Deal,108,MPRO,USA,00:25:02,02:24:21,01:29:01,04:23:59
5,Gregory Lindquist,327,M35-39,USA,00:32:07,02:21:55,01:25:45,04:24:48
10,Sarah Crowley,6,FPRO,AUS,00:26:07,02:28:57,01:25:48,04:25:22
6,Kiel Bur,724,M35-39,USA,00:27:21,02:28:24,01:23:00,04:25:50
2,Steve Johnson,203,M45-49,USA,00:29:00,02:27:08,01:24:46,04:26:07
6,Luke Davis,404,M25-29,USA,00:30:08,02:24:57,01:25:37,04:26:28
4,Justin Clark,298,M30-34,USA,00:29:51,02:15:00,01:35:57,04:26:39
7,Adam Goulet,618,M35-39,USA,00:28:42,02:20:53,01:28:21,04:27:38
1,Stefano Profumo,2365,M40-44,USA,00:31:43,02:21:16,01:27:53,04:27:42
11,Danielle Lewis,15,FPRO,USA,00:30:00,02:25:27,01:27:53,04:27:45
5,Parker Watt,265,M30-34,USA,00:25:54,02:26:40,01:29:49,04:28:00
8,Nathan Patton,1385,M35-39,USA,00:32:38,02:21:14,01:27:49,04:28:34
52,Ian King,99,MPRO,USA,00:24:48,02:26:33,01:33:16,04:28:53
3,Sebe Ziesler,2860,M45-49,USA,00:28:07,02:24:17,01:29:37,04:29:29
7,Mike Mueller,745,M25-29,USA,00:30:55,02:24:44,01:25:57,04:30:02
8,Jamie Hayes,662,M25-29,USA,00:25:11,02:25:49,01:33:25,04:30:18
2,Mitch Child,1918,M18-24,USA,00:27:24,02:20:23,01:36:06,04:30:26
6,Anthony Agnello,3077,M30-34,USA,00:30:06,02:23:08,01:31:00,04:31:10
7,Jacob Barnes,275,M30-34,USA,00:29:26,02:21:29,01:35:18,04:31:26
9,Mike Dumas,551,M35-39,USA,00:32:07,02:29:36,01:23:32,04:31:45
10,Benjamin Williams,598,M35-39,USA,00:28:53,02:33:02,01:24:15,04:31:46
11,David Hodge,342,M35-39,USA,00:32:47,02:17:41,01:33:51,04:31:51
12,Meredith Kessler,4,FPRO,USA,00:26:05,02:28:50,01:31:55,04:31:55
9,Benjamin Ford,781,M25-29,USA,00:26:03,02:23:04,01:37:15,04:32:15
10,Shawn O'Malley,829,M25-29,USA,00:30:41,02:23:03,01:31:21,04:32:25
12,Carlos Vazquez,1645,M35-39,MEX,00:29:14,02:23:29,01:33:24,04:32:28
8,Alexander Betances,525,M30-34,USA,00:32:29,02:21:44,01:31:48,04:32:32
9,Patrick Ciquera,1829,M30-34,USA,00:39:06,02:20:24,01:23:11,04:32:38
53,Jim Lubinski,104,MPRO,USA,00:30:23,02:24:14,01:35:09,04:34:11
13,Elliot Kawaoka,421,M35-39,USA,00:28:33,02:30:17,01:28:56,04:34:29
1,John Hatala,274,M50-54,USA,00:31:20,02:25:58,01:31:11,04:34:37
13,Haley Chura,16,FPRO,USA,00:23:50,02:36:47,01:29:00,04:34:51
2,Joel Homan,349,M40-44,USA,00:35:12,02:21:51,01:32:03,04:34:56
10,Jon Hammond,972,M30-34,USA,00:29:21,02:28:33,01:29:53,04:35:00
2,Kevin Konczak,1657,M50-54,USA,00:30:17,02:29:35,01:28:23,04:35:05
11,Kyle Moncur,2451,M25-29,USA,00:32:15,02:26:27,01:30:36,04:35:16
3,Mathew Hunnicutt,302,M40-44,USA,00:28:30,02:25:27,01:34:38,04:35:25
3,Richard Albrow,478,M50-54,USA,00:29:20,02:28:43,01:30:47,04:35:28
3,Andoni Valencia,2086,M18-24,MEX,00:28:41,02:31:39,01:29:31,04:35:39
4,Brian Devlin,446,M40-44,USA,00:30:08,02:28:05,01:31:24,04:35:49
14,Antonio Gonzalez,2041,M35-39,USA,00:32:30,02:26:37,01:30:45,04:35:50
12,Jack Burgeson,1127,M25-29,USA,00:27:49,02:28:35,01:33:59,04:35:53
4,Peter Christensen,711,M45-49,USA,00:27:58,02:26:33,01:35:23,04:35:56
11,Sean Mahoney,650,M30-34,USA,00:23:51,02:23:44,01:42:31,04:36:44
12,Andrew Macdonell,2637,M30-34,USA,00:26:24,02:29:27,01:35:43,04:37:36
5,David Guenthardt,279,M40-44,CHE,00:33:43,02:21:27,01:35:33,04:37:37
13,Mark Harousseau,1104,M30-34,USA,00:31:13,02:27:01,01:34:02,04:38:00
4,Blake Mitton,2111,M18-24,USA,00:33:19,02:23:42,01:34:19,04:38:21
13,Dan Johnston,317,M25-29,USA,00:31:34,02:23:18,01:36:51,04:38:25
14,Maxwell Matsanoff,732,M30-34,USA,00:35:03,02:20:27,01:36:56,04:38:53
6,Matias Palavecino,397,M40-44,USA,00:29:10,02:27:58,01:35:41,04:38:55
54,Kevin Collington,95,MPRO,USA,00:24:45,02:39:15,01:29:59,04:38:57
5,Tedd Girouard,883,M45-49,CAN,00:34:03,02:24:29,01:33:19,04:39:24
15,Adam Alexander,226,M30-34,USA,00:32:28,02:25:51,01:35:27,04:39:37
14,Justin Thornley,1151,M25-29,USA,00:26:37,02:28:04,01:37:26,04:39:40
16,Nicolas Garcia Perez,692,M30-34,MEX,00:27:05,02:35:14,01:31:28,04:39:44
17,Clay Robbins,1625,M30-34,USA,00:31:06,02:30:01,01:30:38,04:39:52
18,Deo Timbol,1022,M30-34,PHL,00:29:13,02:30:00,01:34:09,04:40:53
15,Sergio Clemente Filho,1038,M35-39,USA,00:29:05,02:32:21,01:32:57,04:40:53
4,Michael Hagenacker,417,M50-54,DEU,00:34:52,02:21:36,01:38:05,04:40:55
1,Rachel Zilinskas,583,F25-29,USA,00:24:41,02:33:34,01:35:48,04:41:07
7,Jacob Ford,371,M40-44,USA,00:28:47,02:25:17,01:39:22,04:41:09
8,Alessio Orsini,602,M40-44,USA,00:34:03,02:20:30,01:38:04,04:41:14
14,Rachel Mensch,36,FPRO,USA,00:27:15,02:32:41,01:36:21,04:41:41
6,Scott Silver,2988,M45-49,USA,00:29:12,02:26:58,01:37:12,04:41:46
16,Scott Voyles,416,M35-39,USA,00:34:22,02:31:40,01:29:36,04:41:50
17,Eric Perry,398,M35-39,USA,00:33:34,02:32:13,01:29:29,04:41:55
55,Steven Parker,4000,MPRO,USA,00:30:18,02:37:05,01:29:49,04:42:10
15,Linsey Corbin,10,FPRO,USA,00:29:59,02:36:15,01:31:21,04:42:15
9,Paul Riddle,2848,M40-44,USA,00:29:45,02:27:15,01:39:11,04:42:30
18,Javier Sanchez Arjonaaguado,452,M35-39,USA,00:29:33,02:34:53,01:30:20,04:42:41
19,Nathan Young,703,M30-34,USA,00:28:36,02:27:59,01:37:19,04:42:42
5,Scott McGowan,1748,M18-24,USA,00:27:43,02:31:26,01:36:14,04:42:42
15,Andr?s Camelo Ocampo,1701,M25-29,COL,00:31:20,02:33:12,01:31:18,04:42:45
1,Caitlin Standifer,483,F30-34,USA,00:33:15,02:31:58,01:31:02,04:42:58
10,Lonnie Adams,1875,M40-44,USA,00:32:21,02:28:30,01:36:28,04:43:04
11,Edward O'Malley,2422,M40-44,USA,00:31:33,02:31:29,01:33:34,04:43:18
19,Bryan Rivera,731,M35-39,USA,00:26:00,02:33:12,01:37:30,04:43:57
6,Alberto Del Bosque,2100,M18-24,MEX,00:27:54,02:36:45,01:32:27,04:44:27
20,Peter Thompson,1967,M30-34,USA,00:31:53,02:27:32,01:37:48,04:44:57
7,Benjamin Saunders,347,M45-49,USA,00:29:20,02:36:28,01:31:44,04:45:07
21,Devin Salinas,2650,M30-34,USA,00:31:44,02:26:25,01:40:12,04:45:16
20,Joe Allen,1295,M35-39,USA,00:38:27,02:27:41,01:30:53,04:45:18
22,Seth Barnes,276,M30-34,USA,00:32:00,02:29:45,01:37:17,04:45:23
-,Team Jerkin In La Verkin,4017,RELAY,USA,00:28:19,02:31:17,01:41:49,04:45:31
16,Sarah Bishop,30,FPRO,USA,00:33:45,02:32:59,01:32:10,04:45:32
21,Anders Christofferson,663,M35-39,USA,00:31:48,02:31:13,01:35:54,04:45:36
17,Fiona Moriarty,35,FPRO,USA,00:32:02,02:32:07,01:36:06,04:45:56
22,Jeffrey Brennecke,707,M35-39,USA,00:32:47,02:33:48,01:33:16,04:46:05
23,Pankkaj Dhiman,573,M35-39,IND,00:33:27,02:38:08,01:27:23,04:46:06
5,David Tindall,2672,M50-54,USA,00:33:39,02:31:14,01:34:09,04:46:14
12,Kyle Lewis,389,M40-44,USA,00:30:10,02:34:05,01:35:31,04:46:18
13,Eric Surovik,381,M40-44,USA,00:32:56,02:32:24,01:34:39,04:46:21
1,Edward Stern,202,M55-59,USA,00:31:58,02:31:23,01:36:01,04:46:37
18,Marj Rinaldo,2899,FPRO,USA,00:30:03,02:30:15,01:40:51,04:46:51
14,Jordan Nichols,328,M40-44,USA,00:29:34,02:26:54,01:45:24,04:47:37
2,Becca Kawaoka,420,F30-34,USA,00:32:54,02:35:01,01:32:58,04:47:54
23,Steven Halewski,495,M30-34,USA,00:29:00,02:28:54,01:42:22,04:48:03
24,Brad Radkoski,651,M35-39,USA,00:31:17,02:30:10,01:40:19,04:48:04
24,Andrew Martinez,621,M30-34,USA,00:25:34,02:28:36,01:44:51,04:48:10
15,Karl Poehls,400,M40-44,USA,00:36:30,02:28:39,01:34:34,04:48:25
25,Ara Parseghian,1432,M35-39,USA,00:32:21,02:32:21,01:35:26,04:48:27
26,James O'Sullivan,378,M35-39,GBR,00:27:50,02:44:38,01:30:04,04:48:28
19,Ashley Paulson,38,FPRO,USA,00:38:43,02:41:31,01:21:44,04:48:28
1,Cathy Yndestad,332,F40-44,USA,00:28:50,02:37:27,01:36:13,04:48:37
27,Dave Leveque,443,M35-39,USA,00:28:10,02:32:27,01:43:16,04:48:57
28,Brian Miller,1328,M35-39,USA,00:30:25,02:38:25,01:34:19,04:49:03
8,Joby Gutierrez,817,M45-49,USA,00:35:20,02:33:53,01:31:16,04:49:10
9,Brian Anttonen,518,M45-49,USA,00:33:17,02:34:36,01:34:58,04:49:19
3,Carolyn Olsen,427,F30-34,USA,00:34:41,02:33:15,01:35:03,04:49:20
4,Coralie Baumann,684,F30-34,USA,00:27:12,02:38:41,01:36:44,04:49:21
29,Kory Gray,314,M35-39,USA,00:31:02,02:33:32,01:37:59,04:49:23
25,Federico Aradillas,403,M30-34,MEX,00:39:11,02:33:55,01:30:04,04:49:47
16,Andrew Stasinos,517,M40-44,USA,00:32:23,02:33:04,01:38:24,04:49:51
16,Caio Carvalho Ellero,1161,M25-29,BRA,00:29:21,02:46:20,01:26:13,04:50:01
10,Andy Iorg,2789,M45-49,USA,00:34:42,02:31:48,01:36:23,04:50:07
7,Simon Shi,1476,M18-24,USA,00:25:39,02:29:52,01:48:15,04:50:08
17,Jeffrey Letsinger,2876,M25-29,USA,00:35:10,02:27:12,01:36:11,04:50:14
30,Jeremiah Radel,714,M35-39,USA,00:28:33,02:36:56,01:38:43,04:50:27
31,Rory Duckworth,376,M35-39,USA,00:34:31,02:26:03,01:44:01,04:50:37
20,Maggie Rusch,43,FPRO,USA,00:29:47,02:37:58,01:38:06,04:50:45
11,Jesse Czelusta,1796,M45-49,USA,00:31:02,02:34:23,01:38:43,04:50:50
21,Maddy Pesch,44,FPRO,USA,00:28:38,02:35:04,01:42:07,04:51:11
22,Hayley Belles,34,FPRO,USA,00:30:00,02:39:08,01:36:48,04:51:13
12,Henri Morales,201,M45-49,USA,00:30:09,02:37:50,01:36:49,04:51:19
